BAIRD'S,,,,,LOWLAND,,,,,MALAYAN,,,,,MOUNTAIN,,,
Site,# of independent records,Camera days,RAI (# ind records / cam days) x 1000,,Site,# of independent records,Camera days,RAI (# ind records/cam days) x 1000,,Site,# of independent records,Camera days,RAI (# ind records/cam days) x 1000,,Site,# of independent records,Camera days,RAI (# ind records/cam days) x 1000
ASBC,1,3752,0.26652452,,Corumbiara,37,,,,Royal Belum State Park,464,,,,Tabaconas Namballe National Sanctuary,95,,
CBQTC,88,449,195.9910913,,Guapore,34,,,,Temengor Forest Reserve,345,,,,,,,
Chirripo,132,7039,18.75266373,,,,,,,,,,,,,,,
Copal,18,707,25.45968883,,,,,,,,,,,,,,,
Kamuk,840,4391,191.3003872,,,,,,,,,,,,,,,
Osa Campanario,49,1588,30.85642317,,,,,,,,,,,,,,,
PILA,154,4773,32.26482296,,,,,,,,,,,,,,,
PN Carara,5,685,7.299270073,,,,,,,,,,,,,,,
Savegre Valley,393,21735,18.08143547,,,,,,,,,,,,,,,
Tapanti,851,8953,95.0519379,,,,,,,,,,,,,,,
Villa Mills,48,1239,38.7409201,,,,,,,,,,,,,,,
