"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"1","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"2","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"3","Conepatus semistriatus","A1-2",9.3367,-83.6287,TRUE
"4","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"5","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"6","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"7","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"8","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"9","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"10","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"11","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"12","Conepatus semistriatus","A1-2",9.3367,-83.6287,TRUE
"13","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"14","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"15","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"16","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"17","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"18","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"19","Eira barbara","A1-2",9.3367,-83.6287,TRUE
"20","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"21","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"22","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"23","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"24","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"25","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"26","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"27","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"28","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"29","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"30","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"31","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"32","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"33","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"34","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"35","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"36","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"37","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"38","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"39","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"40","Nasua narica","A1-2",9.3367,-83.6287,TRUE
"41","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"42","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"43","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"44","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"45","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"46","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"47","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"48","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"49","Nasua narica","A1-2",9.3367,-83.6287,TRUE
"50","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"51","Eira barbara","A1-2",9.3367,-83.6287,TRUE
"52","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"53","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"54","Eira barbara","A1-2",9.3367,-83.6287,TRUE
"55","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"56","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"57","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"58","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"59","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"60","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"61","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"62","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"63","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"64","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"65","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"66","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"67","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"68","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"69","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"70","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"71","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"72","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"73","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"74","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"75","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"76","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"77","Eira barbara","A1-2",9.3367,-83.6287,TRUE
"78","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"79","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"80","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"81","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"82","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"83","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"84","Procyon lotor","A1-2",9.3367,-83.6287,TRUE
"85","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"86","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"87","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"88","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"89","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"90","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"91","Nasua narica","A1-2",9.3367,-83.6287,TRUE
"92","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"93","Dasyprocta punctata","A1-2",9.3367,-83.6287,TRUE
"94","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"95","Puma concolor","A1-2",9.3367,-83.6287,TRUE
"96","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"97","Conepatus semistriatus","A1-2",9.3367,-83.6287,TRUE
"98","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"99","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
"100","Didelphis marsupialis","A1-2",9.3367,-83.6287,TRUE
