"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"9","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"21","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"44","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"71","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"73","Canis latrans","A1-2",9.3367,-83.6287,TRUE
"120","Canis latrans","A1-2",9.3261,-83.6218,TRUE
"123","Canis latrans","A1-2",9.3261,-83.6218,TRUE
"126","Canis latrans","A1-2",9.3261,-83.6218,TRUE
"146","Canis latrans","A1-2",9.3261,-83.6218,TRUE
"168","Canis latrans","A1-2",9.3261,-83.6218,TRUE
"608","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"609","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"613","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"614","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"615","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"616","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"620","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"621","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"622","Canis latrans","A11-12",9.3344,-83.6266,TRUE
"781","Canis latrans","A13-14",9.3319,-83.6109,TRUE
"808","Canis latrans","A13-14",9.3319,-83.6109,TRUE
"844","Canis latrans","A13-14",9.3319,-83.6109,TRUE
"911","Canis latrans","A15-16",9.3456,-83.6081,TRUE
"913","Canis latrans","A15-16",9.3456,-83.6081,TRUE
"1174","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1376","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1377","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1811","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1817","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1823","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1824","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1829","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1835","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1839","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1840","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1841","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1842","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1846","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"1855","Canis latrans","A17-18",9.3261,-83.6218,TRUE
