"","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"1","A1-2",9.3367,-83.6287,TRUE
"2","A1-2",9.3367,-83.6287,TRUE
"3","A1-2",9.3367,-83.6287,TRUE
"4","A1-2",9.3367,-83.6287,TRUE
"5","A1-2",9.3367,-83.6287,TRUE
"6","A1-2",9.3367,-83.6287,TRUE
"7","A1-2",9.3367,-83.6287,TRUE
"8","A1-2",9.3367,-83.6287,TRUE
"9","A1-2",9.3367,-83.6287,TRUE
"10","A1-2",9.3367,-83.6287,TRUE
"11","A1-2",9.3367,-83.6287,TRUE
"12","A1-2",9.3367,-83.6287,TRUE
"13","A1-2",9.3367,-83.6287,TRUE
"14","A1-2",9.3367,-83.6287,TRUE
"15","A1-2",9.3367,-83.6287,TRUE
"16","A1-2",9.3367,-83.6287,TRUE
"17","A1-2",9.3367,-83.6287,TRUE
"18","A1-2",9.3367,-83.6287,TRUE
"19","A1-2",9.3367,-83.6287,TRUE
"20","A1-2",9.3367,-83.6287,TRUE
"21","A1-2",9.3367,-83.6287,TRUE
"22","A1-2",9.3367,-83.6287,TRUE
"23","A1-2",9.3367,-83.6287,TRUE
"24","A1-2",9.3367,-83.6287,TRUE
"25","A1-2",9.3367,-83.6287,TRUE
"26","A1-2",9.3367,-83.6287,TRUE
"27","A1-2",9.3367,-83.6287,TRUE
"28","A1-2",9.3367,-83.6287,TRUE
"29","A1-2",9.3367,-83.6287,TRUE
"30","A1-2",9.3367,-83.6287,TRUE
"31","A1-2",9.3367,-83.6287,TRUE
"32","A1-2",9.3367,-83.6287,TRUE
"33","A1-2",9.3367,-83.6287,TRUE
"34","A1-2",9.3367,-83.6287,TRUE
"35","A1-2",9.3367,-83.6287,TRUE
"36","A1-2",9.3367,-83.6287,TRUE
"37","A1-2",9.3367,-83.6287,TRUE
"38","A1-2",9.3367,-83.6287,TRUE
"39","A1-2",9.3367,-83.6287,TRUE
"40","A1-2",9.3367,-83.6287,TRUE
"41","A1-2",9.3367,-83.6287,TRUE
"42","A1-2",9.3367,-83.6287,TRUE
"43","A1-2",9.3367,-83.6287,TRUE
"44","A1-2",9.3367,-83.6287,TRUE
"45","A1-2",9.3367,-83.6287,TRUE
"46","A1-2",9.3367,-83.6287,TRUE
"47","A1-2",9.3367,-83.6287,TRUE
"48","A1-2",9.3367,-83.6287,TRUE
"49","A1-2",9.3367,-83.6287,TRUE
"50","A1-2",9.3367,-83.6287,TRUE
"51","A1-2",9.3367,-83.6287,TRUE
"52","A1-2",9.3367,-83.6287,TRUE
"53","A1-2",9.3367,-83.6287,TRUE
"54","A1-2",9.3367,-83.6287,TRUE
"55","A1-2",9.3367,-83.6287,TRUE
"56","A1-2",9.3367,-83.6287,TRUE
"57","A1-2",9.3367,-83.6287,TRUE
"58","A1-2",9.3367,-83.6287,TRUE
"59","A1-2",9.3367,-83.6287,TRUE
"60","A1-2",9.3367,-83.6287,TRUE
"61","A1-2",9.3367,-83.6287,TRUE
"62","A1-2",9.3367,-83.6287,TRUE
"63","A1-2",9.3367,-83.6287,TRUE
"64","A1-2",9.3367,-83.6287,TRUE
"65","A1-2",9.3367,-83.6287,TRUE
"66","A1-2",9.3367,-83.6287,TRUE
"67","A1-2",9.3367,-83.6287,TRUE
"68","A1-2",9.3367,-83.6287,TRUE
"69","A1-2",9.3367,-83.6287,TRUE
"70","A1-2",9.3367,-83.6287,TRUE
"71","A1-2",9.3367,-83.6287,TRUE
"72","A1-2",9.3367,-83.6287,TRUE
"73","A1-2",9.3367,-83.6287,TRUE
"74","A1-2",9.3367,-83.6287,TRUE
"75","A1-2",9.3367,-83.6287,TRUE
"76","A1-2",9.3367,-83.6287,TRUE
"77","A1-2",9.3367,-83.6287,TRUE
"78","A1-2",9.3367,-83.6287,TRUE
"79","A1-2",9.3367,-83.6287,TRUE
"80","A1-2",9.3367,-83.6287,TRUE
"81","A1-2",9.3367,-83.6287,TRUE
