"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"6","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"24","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"33","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"34","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"52","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"53","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"56","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"94","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"119","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"121","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"125","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"127","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"130","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"132","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"137","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"138","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"139","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"148","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"153","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"157","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"159","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"166","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"167","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"170","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"171","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"176","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"184","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"185","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"187","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"188","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"194","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"196","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"198","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"199","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"208","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"211","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"213","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"223","Leopardus pardalis","A1-2",9.3261,-83.6218,TRUE
"238","Leopardus pardalis",NA,9.3367,-83.6287,TRUE
"243","Leopardus pardalis",NA,9.3367,-83.6287,TRUE
"265","Leopardus pardalis","A11-12",9.3344,-83.6265,TRUE
