"","low.Species","low.Camr_Nm","low.Latitud","low.Longitd","na.rm"
"1","Canis latrans","RCB1",9.582,-85.101,TRUE
"2","Canis latrans","RCB1",9.582,-85.101,TRUE
"5","Canis latrans","RCB1",9.582,-85.101,TRUE
"7","Canis latrans","RCB1",9.582,-85.101,TRUE
"9","Canis latrans","RCB1",9.582,-85.101,TRUE
"10","Canis latrans","RCB1",9.582,-85.101,TRUE
"11","Canis latrans","RCB1",9.582,-85.101,TRUE
"12","Canis latrans","RCB1",9.582,-85.101,TRUE
"16","Canis latrans","RCB1",9.582,-85.101,TRUE
"17","Canis latrans","RCB1",9.582,-85.101,TRUE
"18","Canis latrans","RCB1",9.582,-85.101,TRUE
"19","Canis latrans","RCB1",9.582,-85.101,TRUE
"23","Canis latrans","RCB1",9.582,-85.101,TRUE
"24","Canis latrans","RCB1",9.582,-85.101,TRUE
"25","Canis latrans","RCB1",9.582,-85.101,TRUE
"26","Canis latrans","RCB1",9.582,-85.101,TRUE
"27","Canis latrans","RCB1",9.582,-85.101,TRUE
"29","Canis latrans","RCB1",9.582,-85.101,TRUE
"32","Canis latrans","RCB1",9.582,-85.101,TRUE
"39","Canis latrans","RCB2",9.5867,-85.0957,TRUE
"46","Canis latrans","RCB2",9.5867,-85.0957,TRUE
"73","Canis latrans","RCB2",9.5867,-85.0957,TRUE
"80","Canis latrans","RCB2",9.5867,-85.0957,TRUE
"209","Canis latrans","RCB5",9.5807,-85.1132,TRUE
"327","Canis latrans","RCB5",9.5807,-85.1132,TRUE
"430","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"439","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"447","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"449","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"466","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"481","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"517","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"528","Canis latrans","RCB6",9.5897,-85.1101,TRUE
"7514","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7515","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7516","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7517","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7518","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7519","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7520","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7787","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7788","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7789","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7790","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7791","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7792","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7793","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7815","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7816","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7817","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7818","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7819","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7820","Canis latrans","LC1",9.7001,-84.3921,TRUE
"7821","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8088","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8089","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8090","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8091","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8092","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8093","Canis latrans","LC1",9.7001,-84.3921,TRUE
"8094","Canis latrans","LC1",9.7001,-84.3921,TRUE
"38163","Canis latrans","LC4",9.708,-84.4008,TRUE
"38164","Canis latrans","LC4",9.708,-84.4008,TRUE
