"","low.Species","low.Camr_Nm","low.Latitud","low.Longitd","na.rm"
"3","Leopardus pardalis","RCB1",9.582,-85.101,TRUE
"14","Leopardus pardalis","RCB1",9.582,-85.101,TRUE
"171","Leopardus pardalis","RCB4",9.5805,-85.109,TRUE
"174","Leopardus pardalis","RCB4",9.5805,-85.109,TRUE
"176","Leopardus pardalis","RCB4",9.5805,-85.109,TRUE
"177","Leopardus pardalis","RCB4",9.5805,-85.109,TRUE
"359","Leopardus pardalis","RCB5",9.5807,-85.1132,TRUE
"435","Leopardus pardalis","RCB6",9.5897,-85.1101,TRUE
"513","Leopardus pardalis","RCB6",9.5897,-85.1101,TRUE
"535","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"536","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"537","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"538","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"539","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"540","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"541","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"542","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"543","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"544","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"545","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"546","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"973","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"974","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"975","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"976","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"977","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"978","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1153","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1154","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1155","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1156","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1157","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1158","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1333","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1334","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1335","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1336","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1337","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1338","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1717","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1718","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1719","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1720","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1721","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1722","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1747","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1748","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1749","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1750","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1751","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1752","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1843","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1844","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
"1845","Leopardus pardalis","LC1",9.7001,-84.3921,TRUE
