"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"1","Canis latrans","4",9.5502,-83.791,TRUE
"2","Canis latrans","4",9.5502,-83.791,TRUE
"3","Canis latrans","4",9.5502,-83.791,TRUE
"4","Canis latrans","4",9.5502,-83.791,TRUE
"5","Canis latrans","4",9.5502,-83.791,TRUE
"9","Canis latrans","4",9.5502,-83.791,TRUE
"10","Canis latrans","4",9.5502,-83.791,TRUE
"11","Canis latrans","4",9.5502,-83.791,TRUE
"12","Canis latrans","4",9.5502,-83.791,TRUE
"20","Canis latrans","4",9.5502,-83.791,TRUE
"21","Canis latrans","4",9.5502,-83.791,TRUE
"22","Canis latrans","4",9.5502,-83.791,TRUE
"23","Canis latrans","4",9.5502,-83.791,TRUE
"24","Canis latrans","4",9.5502,-83.791,TRUE
"25","Canis latrans","4",9.5502,-83.791,TRUE
"26","Canis latrans","4",9.5502,-83.791,TRUE
"29","Canis latrans","4",9.5502,-83.791,TRUE
"30","Canis latrans","4",9.5502,-83.791,TRUE
"32","Canis latrans","4",9.5502,-83.791,TRUE
"33","Canis latrans","4",9.5502,-83.791,TRUE
"34","Canis latrans","4",9.5502,-83.791,TRUE
"35","Canis latrans","4",9.5502,-83.791,TRUE
"37","Canis latrans","4",9.5502,-83.791,TRUE
"40","Canis latrans","4",9.5502,-83.791,TRUE
"41","Canis latrans","4",9.5502,-83.791,TRUE
"42","Canis latrans","4",9.5502,-83.791,TRUE
"44","Canis latrans","4",9.5502,-83.791,TRUE
"46","Canis latrans","4",9.5502,-83.791,TRUE
"47","Canis latrans","4",9.5502,-83.791,TRUE
"50","Canis latrans","4",9.5502,-83.791,TRUE
"51","Canis latrans","4",9.5502,-83.791,TRUE
"52","Canis latrans","4",9.5502,-83.791,TRUE
"53","Canis latrans","4",9.5502,-83.791,TRUE
"54","Canis latrans","4",9.5502,-83.791,TRUE
"56","Canis latrans","4",9.5502,-83.791,TRUE
"58","Canis latrans","4",9.5502,-83.791,TRUE
