"","south.Species","south.Camr_Nm","south.Latitud","south.Longitd","na.rm"
"1","Puma concolor","PILA10",9.117,-82.9634,TRUE
"2","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"3","Puma concolor","PILA10",9.117,-82.9634,TRUE
"4","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"5","Tapirus bairdii","PILA10",9.117,-82.9634,TRUE
"6","Puma concolor","PILA10",9.117,-82.9634,TRUE
"7","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"8","Tapirus bairdii","PILA10",9.117,-82.9634,TRUE
"9","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"10","Puma concolor","PILA10",9.117,-82.9634,TRUE
"11","Puma concolor","PILA10",9.117,-82.9634,TRUE
"12","Tapirus bairdii","PILA10",9.117,-82.9634,TRUE
"13","Puma concolor","PILA10",9.117,-82.9634,TRUE
"14","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"15","Leopardus tigrinus oncilla","PILA10",9.117,-82.9634,TRUE
"16","Leopardus tigrinus oncilla","PILA10",9.117,-82.9634,TRUE
"17","Puma concolor","PILA10",9.117,-82.9634,TRUE
"18","Puma concolor","PILA10",9.117,-82.9634,TRUE
"19","Puma concolor","PILA10",9.117,-82.9634,TRUE
"20","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"21","Puma concolor","PILA10",9.117,-82.9634,TRUE
"22","Puma concolor","PILA10",9.117,-82.9634,TRUE
"23","Puma concolor","PILA10",9.117,-82.9634,TRUE
"24","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"25","Leopardus tigrinus oncilla","PILA10",9.117,-82.9634,TRUE
"26","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"27","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"28","Sylvilagus dicei","PILA10",9.117,-82.9634,TRUE
"29","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"30","Panthera onca","PILA08",9.1015,-82.9677,TRUE
"31","Puma concolor","PILA08",9.1015,-82.9677,TRUE
"32","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"33","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"34","Panthera onca","PILA08",9.1015,-82.9677,TRUE
"35","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"36","Puma concolor","PILA08",9.1015,-82.9677,TRUE
"37","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"38","Puma concolor","PILA08",9.1015,-82.9677,TRUE
"39","Tapirus bairdii","PILA08",9.1015,-82.9677,TRUE
"40","Panthera onca","PILA08",9.1015,-82.9677,TRUE
"41","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"42","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"43","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"44","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"45","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"46","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"47","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"48","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"49","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"50","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"51","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"52","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"53","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"54","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"55","Puma concolor","PILA09",9.1093,-82.9625,TRUE
"56","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"57","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"58","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"59","Mazama temama","K1",9.1407,-83.0672,TRUE
"60","Panthera onca","K1",9.1407,-83.0672,TRUE
"61","Panthera onca","K1",9.1407,-83.0672,TRUE
"62","Panthera onca","K1",9.1407,-83.0672,TRUE
"63","Panthera onca","K1",9.1407,-83.0672,TRUE
"64","Panthera onca","K1",9.1407,-83.0672,TRUE
"65","Panthera onca","K1",9.1407,-83.0672,TRUE
"66","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"67","Canis latrans","K1",9.1407,-83.0672,TRUE
"68","Canis latrans","K1",9.1407,-83.0672,TRUE
"69","Mazama temama","K1",9.1407,-83.0672,TRUE
"70","Mazama temama","K1",9.1407,-83.0672,TRUE
"71","Mazama temama","K1",9.1407,-83.0672,TRUE
"72","Panthera onca","K1",9.1407,-83.0672,TRUE
"73","Panthera onca","K1",9.1407,-83.0672,TRUE
"74","Panthera onca","K1",9.1407,-83.0672,TRUE
"75","Panthera onca","K1",9.1407,-83.0672,TRUE
"76","Panthera onca","K1",9.1407,-83.0672,TRUE
"77","Panthera onca","K1",9.1407,-83.0672,TRUE
"78","Panthera onca","K1",9.1407,-83.0672,TRUE
"79","Panthera onca","K1",9.1407,-83.0672,TRUE
"80","Panthera onca","K1",9.1407,-83.0672,TRUE
"81","Panthera onca","K1",9.1407,-83.0672,TRUE
"82","Panthera onca","K1",9.1407,-83.0672,TRUE
"83","Panthera onca","K1",9.1407,-83.0672,TRUE
"84","Panthera onca","K1",9.1407,-83.0672,TRUE
"85","Panthera onca","K1",9.1407,-83.0672,TRUE
"86","Panthera onca","K1",9.1407,-83.0672,TRUE
"87","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"88","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"89","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"90","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"91","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"92","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"93","Nasua narica","K1",9.1407,-83.0672,TRUE
"94","Panthera onca","K1",9.1407,-83.0672,TRUE
"95","Panthera onca","K1",9.1407,-83.0672,TRUE
"96","Panthera onca","K1",9.1407,-83.0672,TRUE
"97","Panthera onca","K1",9.1407,-83.0672,TRUE
"98","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"99","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"100","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"101","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"102","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"103","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"104","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"105","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"106","Mazama temama","K1",9.1407,-83.0672,TRUE
"107","Nasua narica","K1",9.1407,-83.0672,TRUE
"108","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"109","Mazama temama","K1",9.1407,-83.0672,TRUE
"110","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"111","Panthera onca","K1",9.1407,-83.0672,TRUE
"112","Panthera onca","K1",9.1407,-83.0672,TRUE
"113","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"114","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"115","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"116","Didelphis marsupialis","K1",9.1407,-83.0672,TRUE
"117","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"118","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"119","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"120","Panthera onca","K1",9.1407,-83.0672,TRUE
"121","Tapirus bairdii","K1",9.1407,-83.0672,TRUE
"122","Panthera onca","K1",9.1407,-83.0672,TRUE
"123","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"124","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"125","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"126","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"127","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"128","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"129","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"130","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"131","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"132","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"133","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"134","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"135","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"136","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"137","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"138","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"139","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"140","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"141","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"142","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"143","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"144","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"145","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"146","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"147","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"148","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"149","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"150","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"151","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"152","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"153","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"154","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"155","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"156","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"157","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"158","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"159","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"160","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"161","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"162","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"163","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"164","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"165","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"166","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"167","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"168","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"169","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"170","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"171","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"172","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"173","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"174","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"175","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"176","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"177","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"178","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"179","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"180","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"181","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"182","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"183","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"184","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"185","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"186","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"187","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"188","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"189","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"190","Tapirus bairdii","K10",9.264,-83.0405,TRUE
