"","south.Camr_Nm","south.Latitud","south.Longitd","na.rm"
"1","PILA10",9.117,-82.9634,TRUE
"2","PILA10",9.117,-82.9634,TRUE
"3","PILA10",9.117,-82.9634,TRUE
"4","PILA10",9.117,-82.9634,TRUE
"5","PILA10",9.117,-82.9634,TRUE
"6","PILA10",9.117,-82.9634,TRUE
"7","PILA10",9.117,-82.9634,TRUE
"8","PILA10",9.117,-82.9634,TRUE
"9","PILA10",9.117,-82.9634,TRUE
"10","PILA10",9.117,-82.9634,TRUE
"11","PILA10",9.117,-82.9634,TRUE
"12","PILA10",9.117,-82.9634,TRUE
"13","PILA10",9.117,-82.9634,TRUE
"14","PILA10",9.117,-82.9634,TRUE
"15","PILA10",9.117,-82.9634,TRUE
"16","PILA10",9.117,-82.9634,TRUE
"17","PILA10",9.117,-82.9634,TRUE
"18","PILA10",9.117,-82.9634,TRUE
"19","PILA10",9.117,-82.9634,TRUE
"20","PILA10",9.117,-82.9634,TRUE
"21","PILA10",9.117,-82.9634,TRUE
"22","PILA10",9.117,-82.9634,TRUE
"23","PILA10",9.117,-82.9634,TRUE
"24","PILA10",9.117,-82.9634,TRUE
"25","PILA10",9.117,-82.9634,TRUE
"26","PILA10",9.117,-82.9634,TRUE
"27","PILA10",9.117,-82.9634,TRUE
"28","PILA10",9.117,-82.9634,TRUE
"29","PILA08",9.1015,-82.9677,TRUE
"30","PILA08",9.1015,-82.9677,TRUE
"31","PILA08",9.1015,-82.9677,TRUE
"32","PILA08",9.1015,-82.9677,TRUE
"33","PILA08",9.1015,-82.9677,TRUE
"34","PILA08",9.1015,-82.9677,TRUE
"35","PILA08",9.1015,-82.9677,TRUE
"36","PILA08",9.1015,-82.9677,TRUE
"37","PILA08",9.1015,-82.9677,TRUE
"38","PILA08",9.1015,-82.9677,TRUE
"39","PILA08",9.1015,-82.9677,TRUE
"40","PILA08",9.1015,-82.9677,TRUE
"41","PILA09",9.1093,-82.9625,TRUE
"42","PILA09",9.1093,-82.9625,TRUE
"43","PILA09",9.1093,-82.9625,TRUE
"44","PILA09",9.1093,-82.9625,TRUE
"45","PILA09",9.1093,-82.9625,TRUE
"46","PILA09",9.1093,-82.9625,TRUE
"47","PILA09",9.1093,-82.9625,TRUE
"48","PILA09",9.1093,-82.9625,TRUE
"49","PILA09",9.1093,-82.9625,TRUE
"50","PILA09",9.1093,-82.9625,TRUE
"51","PILA09",9.1093,-82.9625,TRUE
"52","PILA09",9.1093,-82.9625,TRUE
"53","PILA09",9.1093,-82.9625,TRUE
"54","PILA09",9.1093,-82.9625,TRUE
"55","PILA09",9.1093,-82.9625,TRUE
"56","K1",9.1407,-83.0672,TRUE
"57","K1",9.1407,-83.0672,TRUE
"58","K1",9.1407,-83.0672,TRUE
"59","K1",9.1407,-83.0672,TRUE
"60","K1",9.1407,-83.0672,TRUE
"61","K1",9.1407,-83.0672,TRUE
"62","K1",9.1407,-83.0672,TRUE
"63","K1",9.1407,-83.0672,TRUE
"64","K1",9.1407,-83.0672,TRUE
"65","K1",9.1407,-83.0672,TRUE
"66","K1",9.1407,-83.0672,TRUE
"67","K1",9.1407,-83.0672,TRUE
"68","K1",9.1407,-83.0672,TRUE
"69","K1",9.1407,-83.0672,TRUE
"70","K1",9.1407,-83.0672,TRUE
"71","K1",9.1407,-83.0672,TRUE
"72","K1",9.1407,-83.0672,TRUE
"73","K1",9.1407,-83.0672,TRUE
"74","K1",9.1407,-83.0672,TRUE
"75","K1",9.1407,-83.0672,TRUE
"76","K1",9.1407,-83.0672,TRUE
"77","K1",9.1407,-83.0672,TRUE
"78","K1",9.1407,-83.0672,TRUE
"79","K1",9.1407,-83.0672,TRUE
"80","K1",9.1407,-83.0672,TRUE
"81","K1",9.1407,-83.0672,TRUE
"82","K1",9.1407,-83.0672,TRUE
"83","K1",9.1407,-83.0672,TRUE
"84","K1",9.1407,-83.0672,TRUE
"85","K1",9.1407,-83.0672,TRUE
"86","K1",9.1407,-83.0672,TRUE
"87","K1",9.1407,-83.0672,TRUE
"88","K1",9.1407,-83.0672,TRUE
"89","K1",9.1407,-83.0672,TRUE
"90","K1",9.1407,-83.0672,TRUE
"91","K1",9.1407,-83.0672,TRUE
"92","K1",9.1407,-83.0672,TRUE
