"","south.Species","south.Camr_Nm","south.Latitud","south.Longitd","na.rm"
"43","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"44","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"54","Leopardus pardalis","PILA09",9.1093,-82.9625,TRUE
"2646","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2660","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2668","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2681","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2689","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2690","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2702","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2704","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2740","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2743","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2745","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2766","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2768","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2771","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2774","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2780","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2789","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2795","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2808","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2809","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2813","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"2819","Leopardus pardalis","K1",9.1407,-83.0672,TRUE
"3405","Leopardus pardalis","K3",9.1712,-83.0592,TRUE
"3409","Leopardus pardalis","K3",9.1712,-83.0592,TRUE
"3413","Leopardus pardalis","K3",9.1712,-83.0592,TRUE
"3415","Leopardus pardalis","K3",9.1712,-83.0592,TRUE
