"","DaysActive","OcelotDetcs","CayoteDetcs"
"CBQTC1",67,0,0
"CBQTC2",120,0,0
"CBQTC5",116,0,0
"CBQTC6",116,0,0
"CBQTC7",109,1,0
"CBQTC8",121,0,0
"K01",116,0,0
"K02",121,0,0
"K03",114,0,0
"K04",119,0,0
"K05",119,0,0
"K06",116,0,0
"K07",119,0,0
"K08",118,0,0
"K09",82,0,0
"K10",105,0,0
"PILA01",117,6,0
"PILA02",118,2,0
"PILA03",117,6,0
"PILA04",114,0,0
"PILA05",119,0,0
"PILA06",106,0,0
"PILA07",97,0,0
"PILA08",115,0,0
"PILA09",114,0,0
"PILA10",83,0,0
"A1-2",94,1,0
"EMILY",35,0,0
"A11-12",116,0,0
"A13-14",79,1,0
"A15-16",29,0,1
"A17-18",120,0,0
"A5-6",104,0,0
"A7-8",109,0,3
"A9-10",89,1,0
"C1-2",70,0,0
"C1-2R",85,0,0
"C9-10",46,0,1
"C11-12",119,0,13
"C13-14",119,0,0
"C15-16",113,0,2
"C17-18",121,0,1
"C19-20",98,0,4
"C3-4R",76,0,0
"C3-4",117,0,0
"C5-6",123,0,0
"C7-8",113,0,0
"C9-10R",118,1,1
"MOLINA",116,4,0
"VM13",113,0,0
"VM14",105,0,2
"VM15",118,0,0
"VM28",97,6,0
"COPAL EC13-14",81,0,0
"COPAL EC301-302",111,4,0
"MARTA LM1-2",107,12,0
"MARTA LM3",109,14,0
"MARTA LM4-5",60,3,1
"MARTA LM6-7",98,4,0
"SAVEGRE VALLEY 1",113,1,19
"SAVEGRE VALLEY 2",96,0,12
"SAVEGRE VALLEY 3",57,0,3
"SAVEGRE VALLEY 4",115,2,21
"SAVEGRE VALLEY 5R",114,1,23
"SAVEGRE VALLEY 6",115,0,28
"SAVEGRE VALLEY 7",101,0,14
"SAVEGRE VALLEY 8",146,0,25
"SAVEGRE VALLEY 10",114,0,19
"SAVEGRE VALLEY 11",104,0,6
"SAVEGRE VALLEY 16",101,0,15
"SAVEGRE VALLEY 18",101,1,20
"SAVEGRE VALLEY 19",103,0,12
"SAVEGRE VALLEY CAMP2",36,0,1
"SAVEGRE VALLEY CAMP3",33,0,2
"SAVEGRE VALLEY CAMP4",18,0,0
"SAVEGRE VALLEY CATAR15",47,0,0
"SAVEGRE VALLEY CATAR32",20,0,0
"SAVEGRE VALLEY CHANCHOS28",46,0,5
"SAVEGRE VALLEY CHANCHOS29",33,0,5
"SAVEGRE VALLEY CHANCHOS30",47,0,4
"SAVEGRE VALLEY CHANCHOS31",45,0,2
"SAVEGRE VALLEY CHANCHOS33",34,0,0
"SAVEGRE VALLEY DANTA4",104,0,33
"SAVEGRE VALLEY DANTICA14",44,0,4
"SAVEGRE VALLEY DANTICA15",59,0,12
"SAVEGRE VALLEY DANTICA28",120,0,4
"SAVEGRE VALLEY DANTICA29",112,0,1
"SAVEGRE VALLEY FINCA3",59,0,12
"SAVEGRE VALLEY FINCA17",76,0,15
"SAVEGRE VALLEY FINCA20",61,0,12
"SAVEGRE VALLEY FINCA22",81,0,3
"SAVEGRE VALLEY LAGOS23",31,0,0
"SAVEGRE VALLEY LAGOS24",32,0,6
"SAVEGRE VALLEY LAGOS25",33,0,4
"SAVEGRE VALLEY SARAH",81,0,4
"SAVEGRE VALLEY TORRES21",40,0,10
"SAVEGRE VALLEY TORRES22",40,0,11
"SAVEGRE VALLEY VUELTAS26",99,0,34
"SAVEGRE VALLEY VUELTAS27",122,0,0
"SAVEGRE VALLEY WEST2",40,0,1
"SAVEGRE VALLEY WEST3",37,0,1
"SAVEGRE VALLEY WEST4",37,0,1
"SAVEGRE VALLEY WEST23",33,0,2
"TAPANTI T1-2",117,1,0
"TAPANTI T03-04",137,0,0
"TAPANTI T5-6",86,0,0
"TAPANTI T07-08",112,3,0
"TAPANTI T7-8",117,0,0
"TAPANTI T9-10",116,0,0
"TAPANTI T13-14",116,0,0
"TAPANTI T15-16",106,0,0
"TAPANTI T17-18",106,0,0
"TAPANTI T19-20",62,0,0
"TAPANTI T21-22",117,0,0
"TAPANTI T23-24",26,0,0
"TAPANTI T105",73,0,0
"TAPANTI T106",29,0,0
"TAPANTI T107",76,0,0
"RCB1",119,1,1
"RCB2",6,0,0
"RCB3",122,2,1
"RCB4",114,0,0
"RCB5",101,4,0
"RCB6",113,0,1
"LC1",121,9,0
"LC2",120,10,0
"LC3",121,4,0
"LC4",116,4,1
"LC5",119,3,0
"PNC1",47,0,1
"PNC2",75,3,0
"PNC3",90,7,1
"PNC4",56,1,0
"Q1-2",113,4,0
"Q10",76,0,0
"Q3",22,3,0
"Q4",13,1,0
"Q5-6",103,4,0
"Q7",99,4,0
"Q8",24,1,0
"Q9",106,0,0
