"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"RCB1",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA
"RCB2",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCB3",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,NA
"RCB4",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,NA
"RCB5",0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,NA,NA,NA,NA
"RCB6",0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,NA,NA
"LC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC2",0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,NA
"LC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"LC4",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA
"LC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PNC1",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNC2",0,0,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"PNC3",0,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"PNC4",0,1,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q1-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Q10",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Q3",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q5-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"Q7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Q8",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
