ï..Camr_Nm,Lat,Long,d.Road,EdgeDens,PatchDens,DisCore
CBQTC1,9.125955,-83.05896,0.116337981,91.8,9.13,5.07
CBQTC2,9.08922,-83.06565,0.081756116,54.19,2.03,7.1
CBQTC5,9.071059,-83.0884,0.070559001,65.64,1.97,3.94
CBQTC6,9.078394,-83.07478,0.074697737,71.96,5.07,7.1
CBQTC7,9.090548,-83.06159,0.082057447,56.74,3.83,3.83
CBQTC8,9.101672,-83.04232,0.090610047,29.03,1.01,1.01
K01,9.14067,-83.0672,0.132245884,26.74,0.99,1.97
K02,9.15883,-83.06502,0.146728472,16.97,0.99,0.99
K03,9.17116,-83.05924,0.153848934,7.41,1.01,1.01
K04,9.18999,-83.06283,0.154232534,5.33,1.01,1.01
K05,9.20264,-83.05823,0.162358074,20.13,2.03,2.03
K06,9.22988,-83.07601,0.15764272,49.52,0.99,1.97
K07,9.24641,-83.07299,0.169136312,16.78,0.96,0.96
K08,9.25492,-83.06394,0.181437069,56.7,0.99,0.99
K09,9.25863,-83.05029,0.194767228,123.53,3.04,6.09
K10,9.264,-83.0405,0.205888204,180.4,19.28,18.26
PILA01,9.0539,-82.9876,0.066436245,5.76,0.99,0.99
PILA02,9.0623,-82.9838,0.074881257,0,1,1
PILA03,9.0704,-82.9791,0.083906225,0,1,1
PILA04,9.0798,-82.9766,0.092470442,2.3,0.99,0.99
PILA05,9.0861,-82.9779,0.096429442,5.76,0.99,0.99
PILA06,9.0954,-82.9763,0.10476667,6.91,0.99,0.99
PILA07,9.1011,-82.9723,0.111728193,7.11,2.03,1.01
PILA08,9.1015,-82.9677,0.114830611,18.96,1.01,1.01
PILA09,9.1093,-82.9625,0.124179343,0,1,1
PILA10,9.117,-82.9634,0.129828214,1.19,1.01,1.01
