"","model","formula","p(Eff)","SEp(Eff)","p(Int)","SEp(Int)","psi(d.River)","SEpsi(d.River)","psi(d.Road)","SEpsi(d.Road)","psi(Elev)","SEpsi(Elev)","psi(HFI)","SEpsi(HFI)","psi(Int)","SEpsi(Int)","psi(NPP)","SEpsi(NPP)","psi(primForest)","SEpsi(primForest)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"8","pacanppelehfi","~1 ~ NPP + Elev + HFI",NA,NA,-1.82091346774317,0.239743011205338,NA,NA,NA,NA,-25.7740270807844,21.687228990756,-16.8431425643929,14.4334110361624,-6.15296913599678,6.91541051799386,-2.12227085675293,5.10801032166304,NA,NA,0,12313.0950745106,62.2471755741385,5,26,134.494351148277,0,0.84045889691296,NA,0.84045889691296
"5","pacmodhfieffele","~Eff ~ HFI + Elev",0.600755028217391,0.599237596154506,-6.16916278469613,4.16976595263109,NA,NA,NA,NA,-41.3890772304994,56.9620933458515,1.84304931328424,10155.9231594199,3.01047722000213,3366.66253132891,NA,NA,NA,NA,0,104365432962.579,64.2487910944593,5,26,138.497582188919,4.00323104064171,0.113560135884817,NA,0.954019032797777
"9","pacaroad","~1 ~ d.Road",NA,NA,-1.7847543462948,0.255324785978443,NA,NA,-2.97111640798579,1.28667663933129,NA,NA,NA,NA,-1.94101469296101,1.05016100616036,NA,NA,NA,NA,0,39.2269296809732,67.4990754158488,3,26,140.998150831698,6.50379968342071,0.0325262744327384,NA,0.986545307230515
"7","pacanpp","~1 ~ NPP",NA,NA,-2.03880391865066,0.248840244097001,NA,NA,NA,NA,NA,NA,NA,NA,-1.6540599004057,1.22609577583913,-16.4518447788501,11.5109949082466,NA,NA,0,2273.99159054702,68.4268426178175,3,26,142.853685235635,8.35933408735798,0.0128620485814574,NA,0.999407355811973
"4","pacmodeffhfi","~Eff ~ HFI",0.616413916250627,0.610442461767751,-6.03818396230299,4.24744881301516,NA,NA,NA,NA,NA,NA,0.76234610649794,0.514169551108878,-0.745799868866835,0.485408053906658,NA,NA,NA,NA,0,13074.5980437379,71.7736989381731,4,26,151.547397876346,17.0530467280693,0.000166530747736822,NA,0.999573886559709
"3","pacmodhfi","~1 ~ HFI",NA,NA,-1.82192835403399,0.267880682728053,NA,NA,NA,NA,NA,NA,0.765755273646686,0.51743762731459,-0.743356755000634,0.486188993306303,NA,NA,NA,NA,0,4.12472119334964,73.0632504140872,3,26,152.126500828174,17.6321496798973,0.000124664794038104,NA,0.999698551353748
"2","pacEff","~Eff ~ 1",0.616219613823081,0.61053329688068,-6.0425930523829,4.24812041969764,NA,NA,NA,NA,NA,NA,NA,NA,-0.668953695058804,0.453028287408716,NA,NA,NA,NA,0,12983.0435100232,73.0788112459697,3,26,152.157622491939,17.6632713436624,0.000122739921287528,NA,0.999821291275035
"1","pacmod0","~1 ~ 1",NA,NA,-1.82810762132346,0.268623421084516,NA,NA,NA,NA,NA,NA,NA,NA,-0.66608310944697,0.453773300909551,NA,NA,NA,NA,0,3.08672989268107,74.3668896055363,2,26,152.733779211073,18.2394280627956,9.20184680060439e-05,NA,0.999913309743041
"10","pacariver","~1 ~ d.River",NA,NA,-1.83544039097025,0.27072864430652,-0.439477018148792,0.488974828433933,NA,NA,NA,NA,NA,NA,-0.680744859416196,0.468706170753444,NA,NA,NA,NA,0,3.64712993463077,73.9372258950368,3,26,153.874451790074,19.3801006417966,5.2021287332954e-05,NA,0.999965331030374
"6","pacprimforest","~1 ~ primForest",NA,NA,-1.82945953214403,0.268876593085986,NA,NA,NA,NA,NA,NA,NA,NA,-0.663752006565096,0.455060187193611,NA,NA,-0.101618657637893,0.464729015681905,0,3.22232924241825,74.3430338618535,3,26,154.686067723707,20.19171657543,3.46689696258804e-05,NA,1
