"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"CBQTC1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBQTC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CBQTC5",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
"CBQTC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"CBQTC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"CBQTC8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"K02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"K04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"K08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"K09",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"K10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"PILA01",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PILA02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"PILA03",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
"PILA04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PILA05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PILA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PILA07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"PILA08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PILA09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"PILA10",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
