"station","species","date","hour"
"CBQTC8","Ateles geoffroyi","3/28/21","16:05:56"
"CBQTC8","Bassaricyon gabbii","2/1/20","19:12:23"
"K02","Bassaricyon gabbii","9/15/19","19:47:10"
"PILA03","Bassaricyon gabbii","7/7/18","22:41:35"
"PILA04","Bassaricyon gabbii","2/10/20","22:00:53"
"K02","Bassariscus sumichrasti","10/21/18","17:31:56"
"K02","Bassariscus sumichrasti","12/2/20","23:33:23"
"K04","Bassariscus sumichrasti","10/24/18","21:34:04"
"K04","Bassariscus sumichrasti","11/14/18","23:07:59"
"K04","Bassariscus sumichrasti","4/23/19","20:53:12"
"K04","Bassariscus sumichrasti","4/25/19","2:43:18"
"K04","Bassariscus sumichrasti","4/28/19","1:13:43"
"K04","Bassariscus sumichrasti","4/29/19","23:05:58"
"K04","Bassariscus sumichrasti","10/10/19","22:42:58"
"K04","Bassariscus sumichrasti","10/12/19","3:57:41"
"K04","Bassariscus sumichrasti","4/24/20","23:00:15"
"K04","Bassariscus sumichrasti","5/25/20","1:57:07"
"K04","Bassariscus sumichrasti","6/18/20","3:21:09"
"K04","Bassariscus sumichrasti","10/8/20","2:25:12"
"K05","Bassariscus sumichrasti","12/4/20","7:34:24"
"K06","Bassariscus sumichrasti","9/15/19","19:46:09"
"PILA02","Bassariscus sumichrasti","12/30/17","19:05:55"
"PILA03","Bassariscus sumichrasti","9/27/18","4:51:04"
"PILA04","Bassariscus sumichrasti","12/27/18","21:41:46"
"PILA04","Bassariscus sumichrasti","1/9/19","18:54:27"
"PILA04","Bassariscus sumichrasti","1/22/19","18:36:07"
"PILA04","Bassariscus sumichrasti","1/28/19","1:01:53"
"PILA08","Bassariscus sumichrasti","12/19/18","0:55:00"
"PILA09","Bassariscus sumichrasti","7/30/20","23:07:20"
"CBQTC5","Canis familiaris","3/16/20","16:24:35"
"CBQTC6","Canis familiaris","10/13/20","6:15:45"
"CBQTC7","Canis latrans","4/18/19","1:55:04"
"CBQTC8","Canis latrans","12/23/20","20:07:42"
"K01","Canis latrans","11/18/19","6:10:45"
"K01","Canis latrans","1/16/20","5:08:17"
"K01","Canis latrans","1/26/20","5:18:30"
"K02","Canis latrans","11/24/18","4:11:26"
"K02","Canis latrans","12/23/20","21:30:45"
"K03","Canis latrans","11/24/18","12:16:40"
"K05","Canis latrans","2/17/19","5:43:46"
"K05","Canis latrans","1/28/21","23:26:50"
"PILA01","Canis latrans","8/24/17","20:51:20"
"PILA01","Canis latrans","1/23/18","23:43:14"
"PILA01","Canis latrans","3/12/20","11:11:40"
"PILA02","Canis latrans","8/24/17","21:11:58"
"PILA02","Canis latrans","8/29/17","6:34:12"
"PILA02","Canis latrans","1/24/18","0:04:35"
"PILA03","Canis latrans","8/24/17","21:50:56"
"PILA03","Canis latrans","8/29/17","6:45:39"
"PILA04","Canis latrans","8/24/17","22:13:51"
"PILA04","Canis latrans","8/29/17","6:59:24"
"PILA05","Canis latrans","8/24/17","22:36:46"
"PILA05","Canis latrans","8/29/17","7:10:52"
"PILA05","Canis latrans","1/24/18","3:28:33"
"CBQTC2","Cebus capucinus","9/25/20","15:48:44"
"PILA01","Cebus capucinus","6/9/18","5:30:11"
"K02","Coendou mexicanus","8/5/18","1:12:10"
"K02","Coendou mexicanus","8/18/18","21:49:47"
"K02","Coendou mexicanus","9/10/18","7:49:44"
"K02","Coendou mexicanus","9/20/18","23:08:56"
"K02","Coendou mexicanus","9/28/18","18:03:26"
"K02","Coendou mexicanus","1/14/19","3:04:58"
"K02","Coendou mexicanus","2/8/19","0:13:45"
"K02","Coendou mexicanus","2/21/19","21:50:56"
"K02","Coendou mexicanus","2/25/19","22:18:19"
"K02","Coendou mexicanus","3/1/19","2:03:46"
"K02","Coendou mexicanus","3/22/19","20:34:15"
"K02","Coendou mexicanus","4/4/19","0:03:56"
"K02","Coendou mexicanus","7/2/19","0:50:25"
"K02","Coendou mexicanus","7/13/19","22:43:27"
"K02","Coendou mexicanus","7/17/19","20:34:57"
"K02","Coendou mexicanus","7/20/19","22:25:15"
"K02","Coendou mexicanus","7/23/19","20:07:48"
"K02","Coendou mexicanus","8/26/19","21:41:46"
"K02","Coendou mexicanus","10/15/19","19:15:05"
"K02","Coendou mexicanus","12/7/19","4:39:36"
"K02","Coendou mexicanus","12/10/19","20:48:42"
"K02","Coendou mexicanus","12/12/19","18:31:32"
"K02","Coendou mexicanus","12/14/19","18:01:45"
"K02","Coendou mexicanus","11/11/20","23:31:51"
"K02","Coendou mexicanus","11/22/20","18:43:26"
"K02","Coendou mexicanus","11/28/20","1:00:07"
"K02","Coendou mexicanus","12/5/20","19:56:16"
"K02","Coendou mexicanus","12/14/20","23:00:24"
"K02","Coendou mexicanus","12/19/20","1:57:29"
"K02","Coendou mexicanus","2/25/21","22:08:05"
"K06","Coendou mexicanus","7/17/19","20:37:35"
"K06","Coendou mexicanus","7/20/19","22:27:36"
"K06","Coendou mexicanus","7/23/19","20:10:05"
"K06","Coendou mexicanus","8/26/19","21:46:21"
"K06","Coendou mexicanus","10/15/19","19:24:15"
"PILA01","Coendou mexicanus","3/18/20","19:38:18"
"CBQTC2","Conepatus semistriatus","2/22/19","21:27:10"
"CBQTC2","Conepatus semistriatus","8/9/20","6:21:01"
"CBQTC2","Conepatus semistriatus","11/29/20","2:55:21"
"CBQTC5","Conepatus semistriatus","11/10/19","2:59:27"
"CBQTC5","Conepatus semistriatus","1/14/20","21:27:39"
"CBQTC5","Conepatus semistriatus","1/25/20","4:37:04"
"CBQTC5","Conepatus semistriatus","1/27/20","22:51:27"
"CBQTC8","Conepatus semistriatus","12/7/18","10:42:03"
"CBQTC8","Conepatus semistriatus","12/21/18","13:37:24"
"CBQTC8","Conepatus semistriatus","2/20/19","19:13:49"
"K01","Conepatus semistriatus","11/26/18","3:27:30"
"K01","Conepatus semistriatus","1/27/19","20:46:32"
"K01","Conepatus semistriatus","1/29/19","5:03:48"
"K01","Conepatus semistriatus","1/31/19","19:40:18"
"K01","Conepatus semistriatus","12/20/19","4:44:55"
"K01","Conepatus semistriatus","6/8/20","23:25:22"
"K01","Conepatus semistriatus","10/14/20","2:02:14"
"K02","Conepatus semistriatus","3/3/19","23:15:17"
"K02","Conepatus semistriatus","9/11/19","19:01:20"
"K03","Conepatus semistriatus","1/4/20","4:25:51"
"K03","Conepatus semistriatus","7/5/20","4:01:04"
"K04","Conepatus semistriatus","12/16/18","20:59:40"
"K04","Conepatus semistriatus","3/31/20","22:13:23"
"K04","Conepatus semistriatus","6/3/20","2:01:22"
"K04","Conepatus semistriatus","6/6/20","18:21:59"
"K06","Conepatus semistriatus","9/11/19","19:02:26"
"PILA01","Conepatus semistriatus","7/19/17","4:23:34"
"PILA01","Conepatus semistriatus","7/31/17","1:29:23"
"PILA01","Conepatus semistriatus","10/14/17","0:43:22"
"PILA01","Conepatus semistriatus","10/29/17","2:05:51"
"PILA01","Conepatus semistriatus","11/15/17","20:53:38"
"PILA01","Conepatus semistriatus","2/5/18","21:46:21"
"PILA01","Conepatus semistriatus","3/1/18","4:32:44"
"PILA01","Conepatus semistriatus","5/30/18","2:31:16"
"PILA01","Conepatus semistriatus","8/31/18","23:31:43"
"PILA01","Conepatus semistriatus","11/6/18","1:29:23"
"PILA01","Conepatus semistriatus","12/31/18","23:29:29"
"PILA01","Conepatus semistriatus","5/3/19","21:21:08"
"PILA01","Conepatus semistriatus","4/5/20","19:47:52"
"PILA02","Conepatus semistriatus","6/29/17","18:40:42"
"PILA02","Conepatus semistriatus","7/11/17","4:05:14"
"PILA02","Conepatus semistriatus","8/31/17","4:16:41"
"PILA02","Conepatus semistriatus","9/26/17","2:03:46"
"PILA02","Conepatus semistriatus","9/28/17","2:22:06"
"PILA02","Conepatus semistriatus","9/30/17","3:10:13"
"PILA02","Conepatus semistriatus","10/20/17","19:38:00"
"PILA02","Conepatus semistriatus","10/26/17","4:00:39"
"PILA02","Conepatus semistriatus","10/30/17","0:10:59"
"PILA02","Conepatus semistriatus","7/29/18","1:29:56"
"PILA02","Conepatus semistriatus","8/16/18","20:36:40"
"PILA02","Conepatus semistriatus","9/27/18","4:25:51"
"PILA02","Conepatus semistriatus","9/28/18","23:01:58"
"PILA02","Conepatus semistriatus","6/3/19","23:45:31"
"PILA02","Conepatus semistriatus","8/24/20","22:29:41"
"PILA03","Conepatus semistriatus","8/12/18","19:58:20"
"PILA04","Conepatus semistriatus","7/21/18","4:25:00"
"PILA04","Conepatus semistriatus","4/7/19","0:06:53"
"PILA05","Conepatus semistriatus","7/27/17","21:11:58"
"PILA05","Conepatus semistriatus","8/2/18","4:20:25"
"PILA05","Conepatus semistriatus","5/6/19","23:56:59"
"PILA05","Conepatus semistriatus","4/7/20","2:25:43"
"PILA07","Conepatus semistriatus","4/2/20","2:18:58"
"PILA09","Conepatus semistriatus","3/20/19","23:59:16"
"PILA09","Conepatus semistriatus","3/22/19","4:18:59"
"PILA09","Conepatus semistriatus","1/4/20","18:36:06"
"PILA09","Conepatus semistriatus","2/25/20","3:01:37"
"PILA09","Conepatus semistriatus","5/7/20","3:37:19"
"CBQTC1","Cuniculus paca","1/31/17","6:56:57"
"CBQTC1","Cuniculus paca","2/2/17","4:49:51"
"CBQTC1","Cuniculus paca","2/3/17","6:53:31"
"CBQTC1","Cuniculus paca","2/9/17","5:40:33"
"CBQTC1","Cuniculus paca","9/18/20","3:34:57"
"CBQTC2","Cuniculus paca","11/30/20","23:13:57"
"CBQTC5","Cuniculus paca","3/18/19","18:28:46"
"CBQTC5","Cuniculus paca","3/30/19","21:12:42"
"CBQTC5","Cuniculus paca","4/2/19","2:23:36"
"CBQTC5","Cuniculus paca","4/12/19","0:47:12"
"CBQTC5","Cuniculus paca","4/27/19","18:28:27"
"CBQTC5","Cuniculus paca","5/3/19","23:57:09"
