"","survey","Estacao","Lat","Long","X14.12.2013","X15.12.2013","X16.12.2013","X17.12.2013","X18.12.2013","X19.12.2013","X20.12.2013","X21.12.2013","X22.12.2013","X23.12.2013","X24.12.2013","X25.12.2013","X26.12.2013","X27.12.2013","X28.12.2013","X29.12.2013","X30.12.2013","X31.12.2013","X1.1.2014","X2.1.2014","X3.1.2014","X4.1.2014","X5.1.2014","X6.1.2014","X7.1.2014","X8.1.2014","X9.1.2014","X10.1.2014","X11.1.2014","X12.1.2014","X13.01.2014","X14.01.2014","X15.01.2014","X16.01.2014","X17.01.2014","X18.01.2014","X19.01.2014","X20.01.2014","X21.01.2014","X22.01.2014","X23.01.2014","X24.01.2014","X25.01.2014","X26.01.2014","X27.01.2014","X28.01.2014","X29.01.2014","X30.01.2014","X31.01.2014","X1.2.2014","X2.2.2014","X3.2.2014","X4.2.2014","X5.2.2014","X6.2.2014","X7.2.2014","X8.2.2014","X9.2.2014","X10.2.2014","X11.2.2014","X12.2.2014","X13.02.2014","X14.02.2014","X15.02.2014","X16.02.2014","X17.02.2014","X18.02.2014","X19.02.2014","X20.02.2014","X21.02.2014","X22.02.2014","X23.02.2014","X24.02.2014","X25.02.2014","X26.02.2014","X27.02.2014","X28.02.2014","X1.3.2014","X2.3.2014","X3.3.2014","X4.3.2014","X5.3.2014","X6.3.2014","X7.3.2014","X8.3.2014","X9.3.2014","X10.3.2014","X11.3.2014","X12.3.2014","X13.03.2014","X14.03.2014","X15.03.2014","X16.03.2014","X17.03.2014","X18.03.2014","X19.03.2014","X20.03.2014","X21.03.2014","X22.03.2014","X23.03.2014","X24.03.2014","X25.03.2014","X26.03.2014","X27.03.2014","X28.03.2014","X29.03.2014","X30.03.2014","X31.03.2014","X1.4.2014","X2.4.2014","X3.4.2014","X4.4.2014","X5.4.2014","X6.4.2014","X7.4.2014","X8.4.2014","X9.4.2014","X10.4.2014","X11.4.2014","X12.4.2014"
"1","RDSA","RDSA1",-2.43865,-64.66026,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","RDSA","RDSA2",-2.51364,-64.6325,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","RDSA","RDSA3",-2.47573,-64.6355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","RDSA","RDSA4",-2.52199,-64.64866,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","RDSA","RDSA5",-2.52016,-64.60734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","RDSA","RDSA6",-2.47828,-64.67484,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","RDSA","RDSA7",-2.46056,-64.68134,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","RDSA","RDSA8",-2.48598,-64.64894,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","RDSA","RDSA9",-2.49141,-64.6289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","RDSA","RDSA10",-2.52592,-64.6218,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
