"","Amostragem","Estacao","Y","X","start","end","X12.11.2018","X12.12.2018","X12.13.2018","X12.14.2018","X12.15.2018","X12.16.2018","X12.17.2018","X12.18.2018","X12.19.2018","X12.20.2018","X12.21.2018","X12.22.2018","X12.23.2018","X12.24.2018","X12.25.2018","X12.26.2018","X12.27.2018","X12.28.2018","X12.29.2018","X12.30.2018","X12.31.2018","X1.1.2019","X1.2.2019","X1.3.2019","X1.4.2019","X1.5.2019","X1.6.2019","X1.7.2019","X1.8.2019","X1.9.2019","X1.10.2019","X1.11.2019","X1.12.2019","X1.13.2019","X1.14.2019","X1.15.2019","X1.16.2019","X1.17.2019","X1.18.2019","X1.19.2019","X1.20.2019","X1.21.2019","X1.22.2019","X1.23.2019","X1.24.2019","X1.25.2019","X1.26.2019","X1.27.2019","X1.28.2019","X1.29.2019","X1.30.2019","X1.31.2019","X2.1.2019","X2.2.2019","X2.3.2019","X2.4.2019","X2.5.2019","X2.6.2019"
"1","EES","CTES01",-8.871821,-63.237151,"12/14/2018","12/29/2018",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","EES","CTES02",-8.908407,-63.23574,"12/11/2018","12/27/2018",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","EES","CTES03",-8.914463,-63.251175,"12/12/2018","1/12/2019",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","EES","CTES04",-8.938745,-63.233101,"12/13/2018","1/8/2019",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","EES","CTES05",-8.976985,-63.144899,"12/16/2018","1/11/2019",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","EES","CTES06",-8.97645,-63.162421,"12/16/2018","1/10/2019",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","EES","CTES07",-8.980315,-63.184287,"12/12/2018","1/6/2019",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","EES","CTES09",-8.966722,-63.235343,"12/12/2018","1/9/2019",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","EES","CTES11",-8.950726,-63.226699,"12/13/2018","1/6/2019",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","EES","CTES12",-8.873369,-63.221206,"12/14/2018","1/13/2019",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
