field_1,Station,Lat,Long,01AvgMaxTemp,02AvgMaxTempAM,12AvgMaxTempAM,03AvgMaxTempAM,04AvgMaxTempAM,07AvgMaxTempAM,08AvgMaxTempAM,09AvgMaxTempAM,10AvgMaxTempAM,11AvgMaxTempAM,01AvgMinTempAM,02AvgMinTempAM,12AvgMinTempAM,03AvgMinTempAM,04AvgMinTempAM,07AvgMinTempAM,08AvgMinTempAM,09AvgMinTempAM,10AvgMinTempAM,11AvgMinTempAM
"1",RDSA1,-2.43865,-64.66026,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"2",RDSA2,-2.51364,-64.6325,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"3",RDSA3,-2.47573,-64.6355,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"4",RDSA4,-2.52199,-64.64866,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"5",RDSA5,-2.52016,-64.60734,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"6",RDSA6,-2.47828,-64.67484,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"7",RDSA7,-2.46056,-64.68134,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"8",RDSA8,-2.48598,-64.64894,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"9",RDSA9,-2.49141,-64.6289,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"10",RDSA10,-2.52592,-64.6218,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"11",RDSA11,-2.49269,-64.66358,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"12",RDSA12,-2.49039,-64.61526,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"13",RDSA13,-2.46056,-64.68134,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"14",RDSA14,-2.44516,-64.63439,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"15",RDSA15,-2.50099,-64.64214,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"16",RDSA16,-2.47485,-64.62042,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"17",RDSA17,-2.44942,-64.64846,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"18",RDSA18,-2.45619,-64.66284,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"19",RDSA19,-2.50634,-64.61624,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"20",RDSA20,-2.50333,-64.60247,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"21",RDSA21,-2.46088,-64.62653,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"22",RDSA22,-2.50923,-64.65899,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"23",RDSA23,-2.47167,-64.65794,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"24",RDSA24,-2.53512,-64.6375,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"25",RDSA25,-2.46281,-64.64505,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"26",RDSA26,-2.43277,-64.64622,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"27",RDSA27,-2.48358,-64.58757,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"28",RDSA28,-2.43888,-64.61612,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"29",RDSA29,-2.48527,-64.6058,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"30",RDSA30,-2.45346,-64.61049,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"31",RDSA31,-2.46825,-64.60694,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"32",RDSA32,-2.51885,-64.58644,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"33",RDSA33,-2.45004,-64.69112,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"34",RDSA34,-2.42136,-64.61189,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"35",RDSA35,-2.48155,-64.55707,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"36",RDSA36,-2.46154,-64.59065,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"37",RDSA37,-2.44563,-64.59384,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"38",RDSA38,-2.5155,-64.56691,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"39",RDSA39,-2.4871,-64.56777,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"40",RDSA40,-2.4825,-64.57002,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"41",RDSA41,-2.4203,-64.58886,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"42",RDSA42,-2.43391,-64.58167,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"43",RDSA43,-2.42909,-64.59872,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"44",RDSA44,-2.451,-64.57777,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"45",RDSA45,-2.46391,-64.55849,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"46",RDSA46,-2.44738,-64.56175,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"47",RDSA47,-2.46702,-64.57419,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"48",RDSA48,-2.50104,-64.58652,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"49",RDSA49,-2.42595,-64.62764,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"50",RDSA50,-2.43924,-64.56306,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"51",RDSAEX1,-2.46682,-64.63371,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"52",RDSAEX2,-2.44058,-64.65104,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"53",RDSAEX3,-2.46171,-64.65413,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","24","24","24","23","24"
"54",RDSAEX4,-2.44193,-64.68665,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"55",RDSAEX5,-2.53518,-64.62457,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"56",RDSAEX6,-2.50436,-64.62861,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"57",RDSAEX7,-2.51202,-64.64535,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"58",RDSAEX8,-2.5061,-64.57435,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"59",RDSAEX9,-2.45737,-64.59876,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"60",RDSAEX10,-2.47602,-64.59741,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"61",RDSAEX11,-2.52329,-64.59693,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"62",RDSAEX12,-2.44707,-64.61614,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"63",RDSAEX13,-2.4422,-64.5852,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"64",RDSAEX14,-2.45762,-64.5695,"32","32","31","31","31","32","32","33","32","32","23","24","23","23","24","23","24","24","23","24"
"65",CTES01,-8.871821,-63.237151,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"66",CTES02,-8.908407,-63.23574,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"67",CTES03,-8.914463,-63.251175,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","19","19","20","21","21"
"68",CTES04,-8.938745,-63.233101,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"69",CTES05,-8.976985,-63.144899,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"70",CTES06,-8.97645,-63.162421,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"71",CTES07,-8.980315,-63.184287,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"72",CTES09,-8.966722,-63.235343,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"73",CTES11,-8.950726,-63.226699,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
