Camera,Start_date,End_date
RDSA1,X15.12.2013,X4.2.2014
RDSA2,X17.12.2013,X5.2.2014
RDSA3,X14.12.2013,X2.2.2014
RDSA4,X17.12.2013,X6.2.2014
RDSA5,X14.12.2013,X3.2.2014
RDSA6,X18.12.2013,X7.2.2014
RDSA7,X18.12.2013,X7.2.2014
RDSA8,X17.12.2013,X5.2.2014
RDSA9,X14.12.2013,X3.2.2014
RDSA10,X17.12.2013,X5.2.2014
RDSA11,X17.12.2013,X6.2.2014
RDSA12,X14.12.2013,X3.2.2014
RDSA13,X18.12.2013,X1.2.2014
RDSA14,X14.12.2013,X2.2.2014
RDSA15,X17.12.2013,X5.2.2014
RDSA16,X3.2.2014,X22.03.2014
RDSA17,X14.12.2013,X2.2.2014
RDSA18,X15.12.2013,X4.2.2014
RDSA19,X14.12.2013,X3.2.2014
RDSA20,X4.2.2014,X19.03.2014
RDSA21,X18.12.2013,X3.2.2014
RDSA22,X17.12.2013,X6.2.2014
RDSA23,X15.12.2013,X4.2.2014
RDSA24,X17.12.2013,X6.2.2014
RDSA25,X14.12.2013,X2.2.2014
RDSA26,X15.12.2013,X4.2.2014
RDSA27,X8.2.2014,X23.03.2014
RDSA28,X3.2.2014,X19.03.2014
RDSA29,X4.2.2014,X19.03.2014
RDSA30,X3.2.2014,X18.03.2014
RDSA31,X3.2.2014,X18.03.2014
RDSA32,X4.2.2014,X19.03.2014
RDSA33,X18.12.2013,X7.2.2014
RDSA34,X5.2.2014,X21.03.2014
RDSA35,X9.2.2014,X24.03.2014
RDSA36,X5.2.2014,X21.03.2014
RDSA37,X5.2.2014,X21.03.2014
RDSA38,X8.2.2014,X23.03.2014
RDSA39,X8.2.2014,X23.03.2014
RDSA40,X8.2.2014,X23.03.2014
RDSA41,X6.2.2014,X22.03.2014
RDSA42,X6.2.2014,X22.03.2014
RDSA43,X5.2.2014,X21.03.2014
RDSA44,X6.2.2014,X22.03.2014
RDSA45,X9.2.2014,X24.03.2014
RDSA46,X9.2.2014,X23.03.2014
RDSA47,X6.2.2014,X22.03.2014
RDSA48,X4.2.2014,X19.03.2014
RDSA49,X3.2.2014,X18.03.2014
RDSA50,X9.2.2014,X24.03.2014
RDSAex1,X12.1.2014,X7.2.2014
RDSAex2,X12.1.2014,X6.2.2014
