"","Cameras","startdates","enddates"
"1","A1-2","X2014.01.06","X2014.04.09"
"2","Emily","X2012.08.25","X2012.09.28"
"3","A11-12","X2012.07.04","X2012.10.27"
"4","A13-14","X2012.07.05","X2012.09.21"
"5","A15-16","X2012.07.11","X2012.08.08"
"6","A17-18","X2014.09.01","X2014.12.29"
"7","A5-6","X2014.01.04","X2014.04.17"
"8","A7-8","X2014.11.11","X2015.02.27"
"9","A9-10","X2012.07.05","X2012.10.01"
"10","C1-2","X2016.08.23","X2016.10.31"
"11","C1-2R","X2012.07.01","X2012.09.23"
"12","C9-10","X2017.04.03","X2017.05.18"
"13","C11-12","X2014.09.02","X2014.12.29"
"14","C13-14","X2012.07.04","X2012.10.30"
"15","C15-16","X2014.04.06","X2014.07.27"
"16","C17-18","X2014.07.02","X2014.10.30"
"17","C19-20","X2019.01.03","X2019.04.10"
"18","C3-4R","X2013.05.10","X2013.07.24"
"19","C3-4","X2016.11.02","X2017.02.26"
"20","C5-6","X2012.07.01","X2012.10.31"
"21","C7-8","X2012.07.03","X2012.10.23"
"22","C9-10R","X2013.12.03","X2014.03.30"
"23","Molina","X2013.08.06","X2013.11.29"
"24","VM13","X2016.07.09","X2016.10.29"
"25","VM14","X2014.08.05","X2014.11.17"
"26","VM15","X2014.08.05","X2014.11.30"
"27","VM28","X2014.05.17","X2014.08.21"
