"cameras","start_date","end_date"
"RCB1","X2018.01.02","X2018.04.30"
"RCB2","X2017.11.19","X2017.11.24"
"RCB3","X2016.04.01","X2016.07.31"
"RCB4","X2017.11.07","X2018.02.28"
"RCB5","X2016.11.20","X2017.02.28"
"RCB6","X2016.05.10","X2016.08.30"
"LC1","X2017.03.02","X2017.06.30"
"LC2","X2017.07.04","X2017.10.31"
"LC3","X2017.04.01","X2017.07.30"
"LC4","X2017.04.02","X2017.07.26"
"LC5","X2017.03.01","X2017.06.27"
"PNC1","X2017.06.06","X2017.07.22"
"PNC2","X2017.12.27","X2018.03.11"
"PNC3","X2017.06.01","X2017.08.29"
"PNC4","X2017.09.16","X2017.11.10"
"Q1-2","X2017.05.03","X2017.08.23"
"Q10","X2017.01.06","X2017.03.22"
"Q3","X2016.09.19","X2016.10.10"
"Q4","X2017.06.24","X2017.07.06"
"Q5-6","X2017.05.08","X2017.08.18"
"Q7","X2017.05.13","X2017.08.19"
"Q8","X2016.07.23","X2016.08.15"
"Q9","X2017.01.12","X2017.04.27"
