"station","first_date","last_date"
"Savegre Valley 3",2010-07-22,2020-08-29
"Savegre Valley Sarah",2010-07-22,2013-04-03
"Savegre Valley Vueltas27",2010-12-04,2019-06-13
"Tapanti T107",2011-01-02,2014-11-29
"Savegre Valley 4",2011-03-09,2020-07-08
"Savegre Valley Danta4",2011-04-24,2012-08-09
"Savegre Valley 10",2011-05-04,2013-05-08
"Savegre Valley Chanchos30",2011-06-18,2012-08-08
"Savegre Valley Lagos24",2011-06-19,2012-08-01
"Savegre Valley Lagos25",2011-06-19,2017-06-03
"Savegre Valley Torres21",2011-06-20,2019-07-02
"Savegre Valley Vueltas26",2011-06-20,2019-06-12
"Savegre Valley Lagos23",2011-06-23,2017-05-31
"Savegre Valley Chanchos28",2011-07-07,2013-07-01
"Savegre Valley Chanchos29",2011-07-11,2014-07-19
"Savegre Valley 2",2012-01-02,2020-08-28
"Savegre Valley 6",2012-01-15,2020-08-28
"Savegre Valley 1",2012-01-22,2020-08-27
"Marta LM1-2",2012-03-12,2016-01-10
"Savegre Valley 19",2012-03-18,2013-06-12
"Tapanti T5-6",2012-06-18,2018-04-04
"Tapanti T21-22",2012-06-19,2015-05-27
"Tapanti T7-8",2012-06-19,2017-07-20
"Tapanti T19-20",2012-06-20,2016-07-07
"Tapanti T9-10",2012-06-20,2016-07-05
"Tapanti T15-16",2012-06-21,2015-11-26
"Tapanti T23-24",2012-06-21,2014-11-29
"Savegre Valley Catar15",2012-06-22,2012-08-07
"Savegre Valley Torres22",2012-06-23,2019-07-02
"Tapanti T17-18",2012-06-23,2016-03-19
"Savegre Valley Chanchos31",2012-06-25,2014-07-22
"Tapanti T13-14",2012-06-25,2015-02-23
"Savegre Valley Camp2",2012-06-29,2012-08-03
"Savegre Valley Camp3",2012-07-03,2012-08-04
"Tapanti T1-2",2012-07-22,2018-03-14
"Savegre Valley 5R",2012-08-08,2013-06-14
"Savegre Valley Finca17",2013-01-13,2013-03-29
"Savegre Valley Finca22",2013-01-13,2013-04-03
"Savegre Valley Finca20",2013-01-31,2013-04-01
"Savegre Valley Finca3",2013-02-05,2013-04-04
"Savegre Valley 16",2013-02-28,2013-06-14
"Savegre Valley 18",2013-02-28,2013-06-14
"Savegre Valley 11",2013-03-01,2013-06-12
"Savegre Valley 7",2013-04-13,2020-08-28
"Savegre Valley Catar32",2013-06-20,2013-07-09
"Savegre Valley 8",2013-06-30,2020-08-30
"Tapanti T07-08",2013-07-09,2015-06-11
"Copal EC13-14",2013-07-12,2015-08-23
"Copal EC301-302",2013-07-12,2016-09-16
"Tapanti T03-04",2013-07-18,2015-05-30
"Marta LM4-5",2013-07-22,2015-12-07
"Savegre Valley Dantica28",2013-10-02,2014-06-18
"Savegre Valley Dantica15",2014-01-13,2014-03-12
"Savegre Valley Dantica29",2014-01-14,2014-06-21
"Savegre Valley Dantica14",2014-02-02,2014-03-17
"Marta LM3",2014-02-04,2016-01-15
"Savegre Valley Chanchos33",2014-06-21,2014-07-24
"Savegre Valley Camp4",2014-06-28,2014-07-15
"Tapanti T106",2014-07-28,2014-08-25
"Tapanti T105",2014-08-10,2016-02-01
"Marta LM6-7",2014-11-03,2015-12-03
"Savegre Valley West2",2016-01-17,2016-02-25
"Savegre Valley West3",2016-01-19,2016-02-24
"Savegre Valley West4",2016-01-20,2016-02-25
"Savegre Valley West23",2016-01-24,2016-02-25
