"","station","first_date","last_date"
"1","K07",2017-01-04,2021-02-08
"2","CBQTC8",2017-01-05,2021-04-16
"3","CBQTC1",2017-01-14,2020-09-21
"4","PILA02",2017-06-20,2020-08-30
"5","PILA04",2017-06-30,2020-09-24
"6","PILA05",2017-07-21,2020-09-22
"7","PILA03",2017-07-30,2020-09-13
"8","PILA01",2017-09-01,2018-12-27
"9","K06",2018-07-15,2021-03-04
"10","K05",2018-07-16,2021-02-27
"11","K02",2018-07-19,2020-12-11
"12","K10",2018-07-20,2021-01-03
"13","K09",2018-07-29,2021-03-04
"14","PILA08",2018-08-06,2020-09-11
"15","PILA10",2018-09-03,2020-09-14
"16","K03",2018-09-16,2021-02-20
"17","K04",2018-10-07,2021-02-26
"18","PILA06",2018-10-08,2020-08-13
"19","K01",2018-12-15,2020-10-07
"20","PILA09",2018-12-26,2020-04-26
"21","CBQTC5",2019-02-19,2020-10-30
"22","CBQTC6",2019-02-20,2021-01-16
"23","K08",2019-04-29,2021-01-17
"24","PILA07",2020-01-30,2020-06-22
"25","CBQTC7",2020-04-21,2020-04-21
"26","CBQTC2",2020-08-07,2020-11-01
