"","station","first_date","last_date"
"1","Savegre Valley 3","2010-07-22","2020-08-29"
"2","Savegre Valley Sarah","2010-07-22","2013-04-03"
"3","Savegre Valley Vueltas27","2010-12-04","2019-06-13"
"4","Tapanti T107","2011-01-02","2014-11-29"
"5","Savegre Valley 4","2011-03-09","2020-07-08"
"6","Savegre Valley Danta4","2011-04-24","2012-08-09"
"7","Savegre Valley 10","2011-05-04","2013-05-08"
"8","Savegre Valley Chanchos30","2011-06-18","2012-08-08"
"9","Savegre Valley Lagos24","2011-06-19","2012-08-01"
"10","Savegre Valley Lagos25","2011-06-19","2017-06-03"
"11","Savegre Valley Torres21","2011-06-20","2019-07-02"
"12","Savegre Valley Vueltas26","2011-06-20","2019-06-12"
"13","Savegre Valley Lagos23","2011-06-23","2017-05-31"
"14","Savegre Valley Chanchos28","2011-07-07","2013-07-01"
"15","Savegre Valley Chanchos29","2011-07-11","2014-07-19"
"16","Savegre Valley 2","2012-01-02","2020-08-28"
"17","Savegre Valley 6","2012-01-15","2020-08-28"
"18","Savegre Valley 1","2012-01-22","2020-08-27"
"19","Marta LM1-2","2012-03-12","2016-01-10"
"20","Savegre Valley 19","2012-03-18","2013-06-12"
"21","Tapanti T5-6","2012-06-18","2018-04-04"
"22","Tapanti T21-22","2012-06-19","2015-05-27"
"23","Tapanti T7-8","2012-06-19","2017-07-20"
"24","Tapanti T19-20","2012-06-20","2016-07-07"
"25","Tapanti T9-10","2012-06-20","2016-07-05"
"26","Tapanti T15-16","2012-06-21","2015-11-26"
"27","Tapanti T23-24","2012-06-21","2014-11-29"
"28","Savegre Valley Catar15","2012-06-22","2012-08-07"
"29","Savegre Valley Torres22","2012-06-23","2019-07-02"
"30","Tapanti T17-18","2012-06-23","2016-03-19"
"31","Savegre Valley Chanchos31","2012-06-25","2014-07-22"
"32","Tapanti T13-14","2012-06-25","2015-02-23"
"33","Savegre Valley Camp2","2012-06-29","2012-08-03"
"34","Savegre Valley Camp3","2012-07-03","2012-08-04"
"35","Tapanti T1-2","2012-07-22","2018-03-14"
"36","Savegre Valley 5R","2012-08-08","2013-06-14"
"37","Savegre Valley Finca17","2013-01-13","2013-03-29"
"38","Savegre Valley Finca22","2013-01-13","2013-04-03"
"39","Savegre Valley Finca20","2013-01-31","2013-04-01"
"40","Savegre Valley Finca3","2013-02-05","2013-04-04"
"41","Savegre Valley 16","2013-02-28","2013-06-14"
"42","Savegre Valley 18","2013-02-28","2013-06-14"
"43","Savegre Valley 11","2013-03-01","2013-06-12"
