"ID","Project Name","Camera Trap Name","Latitude","Longitude","Sampling Event","Photo Type","Photo Date","Photo time","Raw Name","Class","Order","Family","Genus","Species","Subspecies","Number of Animals","Person Identifying the Photo","Camera Serial Number","Camera Start Date","Camera End Date","Person setting up the Camera","Person picking up the Camera","Camera Manufacturer","Camera Model","Sequence Info","Moon Phase","Temperature","Flash","Organization Name"
"1","Kamuk 2021 (March-July)","K01","9.14067","-83.0672","Wet Season 2021 (03.08-07.21.2021)","Blank","2021-03-27","14:03:13","03270051.JPG","","","","","","","","","K01","2021-03-08","2021-03-27","","","Bushnell","Trophy Cam HD","","","","0","Mooring Research"
"2","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:30","03240202.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"3","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:31","03240203.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"4","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:32","03240204.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"5","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:36","03240205.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"6","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:37","03240206.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"7","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:38","03240207.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"8","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:40","03240208.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"9","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:41","03240209.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"10","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:42","03240210.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
"11","Kamuk 2021 (March-July)","K02a","9.15883","-83.06502","Wet Season 2021 (03.08-07.21.2021)","Animal","2021-03-24","20:32:45","03240211.JPG","MAMMALIA","PERISSODACTYLA","TAPIRIDAE","Tapirus","bairdii","","1","Emily Bohnet","K02a","2021-03-08","2021-07-17","","","Bushnell","Trophy Cam HD","","","","16","Mooring Research"
