"","X","Station","Lat","Long","MAP"
"1",1,"CBQTC1",9.125955,-83.05896,259.416666666667
"2",2,"CBQTC2",9.08922,-83.06565,272.916666666667
"3",3,"CBQTC5",9.071059,-83.0884,241.333333333333
"4",4,"CBQTC6",9.078394,-83.07478,263
"5",5,"CBQTC7",9.090548,-83.06159,272.916666666667
"6",6,"CBQTC8",9.101672,-83.04232,255.25
"7",7,"K01",9.14067,-83.0672,255.666666666667
"8",8,"K02",9.15883,-83.06502,199
"9",9,"K03",9.17116,-83.05924,195.916666666667
"10",10,"K04",9.18999,-83.06283,177
"11",11,"K05",9.20264,-83.05823,194.083333333333
"12",12,"K06",9.22988,-83.07601,177.5
"13",13,"K07",9.24641,-83.07299,212.833333333333
"14",14,"K08",9.25492,-83.06394,259.25
"15",15,"K09",9.25863,-83.05029,251.666666666667
"16",16,"K10",9.264,-83.0405,219.75
"17",17,"PILA01",9.0539,-82.9876,268.25
"18",18,"PILA02",9.0623,-82.9838,265.583333333333
"19",19,"PILA03",9.0704,-82.9791,247.833333333333
"20",20,"PILA04",9.0798,-82.9766,225.833333333333
"21",21,"PILA05",9.0861,-82.9779,212.5
"22",22,"PILA06",9.0954,-82.9763,181.5
"23",23,"PILA07",9.1011,-82.9723,187.083333333333
"24",24,"PILA08",9.1015,-82.9677,187.083333333333
"25",25,"PILA09",9.1093,-82.9625,194.833333333333
"26",26,"PILA10",9.117,-82.9634,194.333333333333
"27",27,"A1-2",9.3367,-83.6287,223.416666666667
"28",28,"EMILY",9.3367,-83.6287,223.416666666667
"29",29,"A11-12",9.3344,-83.6265,223.416666666667
"30",30,"A13-14",9.3319,-83.6109,229
"31",31,"A15-16",9.3456,-83.6081,232.25
"32",32,"A17-18",9.3261,-83.6218,216.333333333333
"33",33,"A5-6",9.3352,-83.6389,218.25
"34",34,"A7-8",9.3319,-83.6235,216.333333333333
"35",35,"A9-10",9.3309,-83.6261,223.75
"36",36,"C1-2",9.5378,-83.5852,214.75
"37",37,"C1-2R",9.4599,-83.5619,203.25
"38",38,"C9-10",9.533,-83.5607,221.333333333333
"39",39,"C11-12",9.4294,-83.5094,162.833333333333
"40",40,"C13-14",9.4518,-83.5059,152.25
"41",41,"C15-16",9.389,-83.4975,234.166666666667
"42",42,"C17-18",9.3932,-83.4986,217.25
"43",43,"C19-20",9.4047,-83.5043,192.166666666667
"44",44,"C3-4R",9.4565,-83.5479,227.583333333333
"45",45,"C3-4",9.5303,-83.5874,186.75
"46",46,"C5-6",9.4462,-83.5357,196.333333333333
"47",47,"C7-8",9.4426,-83.5092,158.583333333333
"48",48,"C9-10R",9.463,-83.5013,152.25
"49",49,"MOLINA",9.3607,-83.597,239.5
"50",50,"VM13",9.5579,-83.6887,178.5
"51",51,"VM14",9.5571,-83.6853,178.5
"52",52,"VM15",9.5605,-83.6886,170.583333333333
"53",53,"VM28",9.5633,-83.6868,170.583333333333
"54",54,"COPAL EC13-14",9.7826,-83.7554,245.416666666667
"55",55,"COPAL EC301-302",9.7804,-83.7546,245.416666666667
"56",56,"MARTA LM1-2",9.7685,-83.6823,295.583333333333
"57",57,"MARTA LM3",9.7651,-83.6791,293.666666666667
"58",58,"MARTA LM4-5",9.7861,-83.6915,267.916666666667
"59",59,"MARTA LM6-7",9.7679,-83.6834,277.666666666667
"60",60,"SAVEGRE VALLEY 1",9.5516,-83.7976,193.416666666667
"61",61,"SAVEGRE VALLEY 2",9.5515,-83.7928,193.416666666667
