"","X","Station","Lat","Long","MAP"
"1",1,"RDSA1",-2.43865,-64.66026,279.083333333333
"2",2,"RDSA2",-2.51364,-64.6325,274.833333333333
"3",3,"RDSA3",-2.47573,-64.6355,276.5
"4",4,"RDSA4",-2.52199,-64.64866,276.666666666667
"5",5,"RDSA5",-2.52016,-64.60734,273.666666666667
"6",6,"RDSA6",-2.47828,-64.67484,279.166666666667
"7",7,"RDSA7",-2.46056,-64.68134,280.833333333333
"8",8,"RDSA8",-2.48598,-64.64894,277.416666666667
"9",9,"RDSA9",-2.49141,-64.6289,275.75
"10",10,"RDSA10",-2.52592,-64.6218,274.833333333333
"11",11,"RDSA11",-2.49269,-64.66358,277.833333333333
"12",12,"RDSA12",-2.49039,-64.61526,274.416666666667
"13",13,"RDSA13",-2.46056,-64.68134,280.833333333333
"14",14,"RDSA14",-2.44516,-64.63439,277.083333333333
"15",15,"RDSA15",-2.50099,-64.64214,276.666666666667
"16",16,"RDSA16",-2.47485,-64.62042,274.75
"17",17,"RDSA17",-2.44942,-64.64846,278
"18",18,"RDSA18",-2.45619,-64.66284,279.166666666667
"19",19,"RDSA19",-2.50634,-64.61624,274.416666666667
"20",20,"RDSA20",-2.50333,-64.60247,273.916666666667
"21",21,"RDSA21",-2.46088,-64.62653,275.583333333333
"22",22,"RDSA22",-2.50923,-64.65899,277.833333333333
"23",23,"RDSA23",-2.47167,-64.65794,278.75
"24",24,"RDSA24",-2.53512,-64.6375,275.583333333333
"25",25,"RDSA25",-2.46281,-64.64505,277.333333333333
"26",26,"RDSA26",-2.43277,-64.64622,277.333333333333
"27",27,"RDSA27",-2.48358,-64.58757,272.416666666667
"28",28,"RDSA28",-2.43888,-64.61612,274
"29",29,"RDSA29",-2.48527,-64.6058,274
"30",30,"RDSA30",-2.45346,-64.61049,274.25
"31",31,"RDSA31",-2.46825,-64.60694,273.083333333333
"32",32,"RDSA32",-2.51885,-64.58644,272
"33",33,"RDSA33",-2.45004,-64.69112,281.416666666667
"34",34,"RDSA34",-2.42136,-64.61189,274.416666666667
"35",35,"RDSA35",-2.48155,-64.55707,269.75
"36",36,"RDSA36",-2.46154,-64.59065,272.833333333333
