"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"COPAL EC13-14",6,7,7,7,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPAL EC301-302",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA
"MARTA LM1-2",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA
"MARTA LM3",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA,NA
"MARTA LM4-5",6,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTA LM6-7",6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 1",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 2",4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 3",5,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 4",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 5R",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 6",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 7",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 8",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5
"SAVEGRE VALLEY 10",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 11",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 16",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 18",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA
"SAVEGRE VALLEY 19",7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA,NA,NA
