"","Camr_Nm","Lat","Long","HFI_Value","Elevation","Forest_Cover","Productivity","d.Road","d.River","EdgeDens","PatchDens","DisjCore"
"1","Copal EC13-14",9.7826,-83.7554,7,1148,90.9478764478765,103,0.031850353,0.018120254,23.62,1,2.01
"2","Copal EC301-302",9.7804,-83.7546,7,1213,95.7055984555985,103,0.031138802,0.017820689,4.42,1,1
"3","Marta LM1-2",9.7685,-83.6823,5,863,97.7940038684719,85,0.038141235,0.002027039,0,1,1
"4","Marta LM3",9.7651,-83.6791,5,983,97.5222007722008,85,0.042351739,0.002211209,0,1,1
"5","Marta LM4-5",9.7861,-83.6915,5,758,91.7775628626692,85,0.018976749,0.001916667,28.86,1,1
"6","Marta LM6-7",9.7679,-83.6834,5,836,97.8696911196911,85,0.038423912,0.000824958,0,1,1
"7","Savegre Valley 1",9.5516,-83.7976,6,2565,89.9893719806763,64,0.042667024,0.008663493,2.06,1,1
"8","Savegre Valley 10",9.5514,-83.7927,6,2603,89.7153920619555,64,0.039567599,0.013013348,12.08,1,2.01
"9","Savegre Valley 11",9.5453,-83.7956,6,2596,90.6110038610039,64,0.04568757,0.012626801,1.77,1,1
"10","Savegre Valley 16",9.5502,-83.791,6,2581,89.5522243713733,64,0.039016168,0.015073837,18.87,1,1
"11","Savegre Valley 18",9.5514,-83.7927,6,2603,89.7153920619555,64,0.039567599,0.013013348,12.08,1,2.01
"12","Savegre Valley 19",9.5413,-83.7977,6,2500,90.5058027079304,64,0.049864408,0.013670731,30.05,1,2.01
"13","Savegre Valley 2",9.5515,-83.7928,6,2603,89.7417794970986,64,0.039584453,0.012871955,11.5,1,1
"14","Savegre Valley 3",9.5486,-83.7915,6,2604,89.7495164410058,64,0.040425331,0.015155729,16.61,0.98,0.98
"15","Savegre Valley 4",9.5502,-83.791,6,2581,89.5522243713733,64,0.039016168,0.015073837,18.87,1,1
"16","Savegre Valley 5R",9.5516,-83.7976,6,2565,89.9893719806763,64,0.042667024,0.008663493,2.06,1,1
"17","Savegre Valley 6",9.5453,-83.7956,6,2596,90.6110038610039,64,0.04568757,0.012626801,1.77,1,1
"18","Savegre Valley 7",9.5412,-83.7977,6,2504,90.5154738878143,64,0.049929122,0.013741442,30.05,1,2.01
"19","Savegre Valley 8",9.5465,-83.8001,5,2381,90.300193050193,63,0.048185111,0.00830639,0,1,1
"20","Savegre Valley Camp2",9.5512,-83.791,6,2611,89.2514506769826,64,0.038375344,0.014414826,18.27,1,1
"21","Savegre Valley Camp3",9.5505,-83.7995,5,2490,90.1814671814672,64,0.044745736,0.006933213,2.36,1,1
"22","Savegre Valley Camp4",9.5675,-83.7942,5,2635,89.6402321083172,64,0.029443826,0.003511964,6.3,0.98,0.98
"23","Savegre Valley Catar15",9.539,-83.8181,6,2106,90.5685328185328,63,0.065994885,0.000872098,7.07,1,1
"24","Savegre Valley Catar32",9.5392,-83.8181,6,2113,90.277027027027,63,0.065858826,0.000730677,8.3,0.98,0.98
"25","Savegre Valley Chanchos28",9.6019,-83.8212,10,3038,89.8770571151985,93,0.014221032,0.033520226,4.42,1,1
"26","Savegre Valley Chanchos29",9.5904,-83.8171,6,3112,89.887922705314,63,0.025451287,0.028873527,2.87,0.98,0.98
