,Camr_Nm,Species,Date,Time
11,CBQTC1,Cuniculus paca,1/31/17,6:56:57
7,CBQTC1,Cuniculus paca,2/2/17,4:49:51
12,CBQTC1,Cuniculus paca,2/3/17,6:53:31
20,CBQTC1,Cuniculus paca,2/9/17,5:40:33
41,CBQTC1,Cuniculus paca,9/18/20,3:34:57
50,CBQTC1,Dasyprocta punctata,2/16/19,5:38:55
99,CBQTC1,Dasyprocta punctata,4/5/19,13:42:58
104,CBQTC1,Dasyprocta punctata,7/17/20,18:03:47
107,CBQTC1,Dasyprocta punctata,7/19/20,5:41:42
110,CBQTC1,Dasyprocta punctata,7/28/20,6:51:41
113,CBQTC1,Dasyprocta punctata,8/11/20,7:04:28
116,CBQTC1,Dasyprocta punctata,8/13/20,9:36:13
118,CBQTC1,Dasypus novemcitus,3/6/20,20:35:50
128,CBQTC1,Dasypus novemcitus,7/19/20,19:10:03
131,CBQTC1,Dasypus novemcitus,7/22/20,19:12:33
134,CBQTC1,Dasypus novemcitus,8/23/20,23:17:51
135,CBQTC1,Didelphis marsupialis,1/12/17,8:10:24
140,CBQTC1,Didelphis marsupialis,1/23/17,2:28:36
143,CBQTC1,Didelphis marsupialis,9/14/20,19:39:46
164,CBQTC1,Leopardus wiedii,12/31/19,23:02:04
166,CBQTC1,Nasua narica,3/31/19,10:02:17
169,CBQTC1,Nasua narica,12/16/19,14:59:44
172,CBQTC1,Tapirus bairdii,1/14/17,11:55:41
182,CBQTC1,Tapirus bairdii,1/29/17,8:26:33
202,CBQTC1,Tapirus bairdii,2/13/17,10:27:11
215,CBQTC1,Tapirus bairdii,4/2/19,15:27:50
229,CBQTC1,Tapirus bairdii,11/21/19,0:20:22
244,CBQTC1,Tapirus bairdii,9/17/20,19:28:26
253,CBQTC1,Tapirus bairdii,9/21/20,0:05:21
259,CBQTC2,Cebus capucinus,9/25/20,15:48:44
266,CBQTC2,Conepatus semistriatus,2/22/19,21:27:10
269,CBQTC2,Conepatus semistriatus,8/9/20,6:21:01
272,CBQTC2,Conepatus semistriatus,11/29/20,2:55:21
275,CBQTC2,Cuniculus paca,11/30/20,23:13:57
278,CBQTC2,Dasyprocta punctata,7/19/20,16:40:41
286,CBQTC2,Dasyprocta punctata,8/16/20,16:44:25
289,CBQTC2,Dasyprocta punctata,11/26/20,15:27:40
290,CBQTC2,Dasyprocta punctata,12/4/20,12:39:25
293,CBQTC2,Dasypus novemcitus,6/21/19,22:32:39
294,CBQTC2,Dasypus novemcitus,11/26/19,1:01:34
297,CBQTC2,Dasypus novemcitus,7/21/20,3:05:33
312,CBQTC2,Dasypus novemcitus,7/26/20,4:21:24
315,CBQTC2,Dasypus novemcitus,7/27/20,20:51:05
318,CBQTC2,Dasypus novemcitus,7/29/20,21:19:55
321,CBQTC2,Dasypus novemcitus,8/29/20,19:50:32
323,CBQTC2,Dasypus novemcitus,9/1/20,22:13:11
326,CBQTC2,Dasypus novemcitus,9/2/20,22:37:35
328,CBQTC2,Dasypus novemcitus,9/7/20,18:19:20
331,CBQTC2,Dasypus novemcitus,9/19/20,0:02:13
334,CBQTC2,Dasypus novemcitus,9/21/20,19:49:48
336,CBQTC2,Dasypus novemcitus,9/23/20,3:55:45
339,CBQTC2,Dasypus novemcitus,9/24/20,23:53:01
342,CBQTC2,Dasypus novemcitus,9/26/20,4:29:15
344,CBQTC2,Dasypus novemcitus,9/27/20,4:33:42
350,CBQTC2,Dasypus novemcitus,9/30/20,18:13:51
355,CBQTC2,Dasypus novemcitus,10/5/20,19:33:35
358,CBQTC2,Dasypus novemcitus,10/7/20,21:28:54
361,CBQTC2,Dasypus novemcitus,10/10/20,19:16:46
364,CBQTC2,Dasypus novemcitus,10/11/20,21:31:55
367,CBQTC2,Dasypus novemcitus,10/13/20,18:32:30
370,CBQTC2,Dasypus novemcitus,10/14/20,23:47:25
373,CBQTC2,Dasypus novemcitus,10/18/20,2:50:52
376,CBQTC2,Dasypus novemcitus,10/19/20,18:13:00
378,CBQTC2,Dasypus novemcitus,10/20/20,18:37:45
380,CBQTC2,Dasypus novemcitus,10/21/20,20:18:55
383,CBQTC2,Dasypus novemcitus,10/22/20,23:32:00
386,CBQTC2,Dasypus novemcitus,10/26/20,0:08:00
389,CBQTC2,Dasypus novemcitus,10/28/20,1:26:12
397,CBQTC2,Dasypus novemcitus,10/31/20,21:40:25
398,CBQTC2,Dasypus novemcitus,11/2/20,21:18:50
401,CBQTC2,Dasypus novemcitus,11/8/20,2:16:07
404,CBQTC2,Dasypus novemcitus,11/12/20,1:19:22
409,CBQTC2,Dasypus novemcitus,11/15/20,18:42:11
410,CBQTC2,Dasypus novemcitus,11/18/20,19:36:13
416,CBQTC2,Dasypus novemcitus,11/22/20,23:52:50
419,CBQTC2,Dasypus novemcitus,11/27/20,4:54:31
421,CBQTC2,Dasypus novemcitus,12/1/20,21:32:48
422,CBQTC2,Dasypus novemcitus,12/3/20,22:10:59
