,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Ago 2017,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Ago 2018,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Ago 2019,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Ago 2020,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Ago 2021,Sep-21,Oct-21,Nov-21,Dec-21
CBQTC1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBQTC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,7,4,13,20,13,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBQTC5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,9,10,8,2,NA,NA,NA,6,7,7,3,9,10,8,NA,NA,NA,6,5,7,5,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBQTC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,5,6,NA,NA,NA,NA,6,5,8,6,NA,NA,NA,7,4,8,14,6,1,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBQTC7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,3,7,3,5,8,4,1,1,3,6,5,11,9,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CBQTC8,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,3,4,8,10,7,NA,NA,NA,NA,9,14,11,11,12,12,6,9,13,13,4,9,12,7,10,4,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA
K01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,2,8,4,3,3,4,NA,NA,3,3,3,5,10,4,5,3,1,3,4,4,4,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,8,3,10,NA,4,8,11,10,4,13,23,16,16,17,19,22,6,4,8,9,8,7,15,4,7,5,4,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,1,2,4,NA,7,1,NA,3,11,10,6,8,6,4,5,6,7,6,6,8,6,4,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,9,3,7,4,9,2,4,9,4,2,11,3,NA,7,7,11,14,8,12,5,6,6,4,4,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,6,4,4,3,1,3,4,1,7,5,4,4,4,3,6,3,6,7,11,4,7,12,5,2,11,5,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,7,10,8,10,3,7,9,6,7,8,21,16,16,18,14,7,5,3,2,6,NA,1,3,3,NA,NA,2,4,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K07,4,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,7,2,3,3,1,NA,NA,NA,NA,NA,NA,4,8,5,NA,NA,NA,NA,NA,4,2,2,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,5,3,10,6,6,9,NA,NA,1,1,2,6,1,NA,7,1,4,2,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,3,2,1,1,NA,NA,2,3,9,NA,3,3,4,1,1,2,2,1,2,4,NA,6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,6,2,3,5,NA,2,3,4,NA,NA,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,3,NA,NA,NA,NA,NA,4,4,6,5,4,1,3,NA,2,1,NA,NA,NA,NA,5,9,6,5,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K7,6,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,10,7,2,3,6,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,2,NA,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,2,1,NA,2,1,3,NA,NA,1,NA,NA,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA01,NA,NA,NA,NA,NA,7,19,15,14,3,3,13,16,11,7,7,14,18,13,17,10,6,8,14,16,7,15,20,9,18,NA,NA,NA,NA,1,12,20,16,9,12,8,12,21,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
