"","Camr_Nm","Lat","Long","Elev","HFI"
"1","CBQTC1",9.125955,-83.05896,1810,4
"2","CBQTC2",9.08922,-83.06565,1419,5
"3","CBQTC5",9.071059,-83.0884,924,5
"4","CBQTC6",9.078394,-83.07478,1107,5
"5","CBQTC7",9.090548,-83.06159,1432,5
"6","CBQTC8",9.101672,-83.04232,1548,5
"7","K01",9.14067,-83.0672,2210,4
"8","K02",9.15883,-83.06502,2449,4
"9","K03",9.17116,-83.05924,2717,4
"10","K04",9.18999,-83.06283,2877,4
"11","K05",9.20264,-83.05823,2967,4
"12","K06",9.22988,-83.07601,2821,4
"13","K07",9.24641,-83.07299,2964,4
"14","K08",9.25492,-83.06394,3064,4
"15","K09",9.25863,-83.05029,3183,4
"16","K10",9.264,-83.0405,3319,3
"17","PILA01",9.0539,-82.9876,2118,4
"18","PILA02",9.0623,-82.9838,2070,4
"19","PILA03",9.0704,-82.9791,2243,4
"20","PILA04",9.0798,-82.9766,2291,4
"21","PILA05",9.0861,-82.9779,2476,4
"22","PILA06",9.0954,-82.9763,2550,4
"23","PILA07",9.1011,-82.9723,2511,4
"24","PILA08",9.1015,-82.9677,2493,4
"25","PILA09",9.1093,-82.9625,2483,4
"26","PILA10",9.117,-82.9634,2438,4
