"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"CBQTC1",7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBQTC2",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA
"CBQTC5",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA,NA
"CBQTC6",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA
"CBQTC7",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA
"CBQTC8",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,NA
"K01",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA
"K02",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA
"K03",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA,NA
"K04",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA
"K05",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,NA
"K06",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,NA
"K07",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA
"K08",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA
"K09",7,7,7,7,7,7,7,7,7,7,7,5,NA,NA,NA,NA,NA,NA,NA
"K10",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA
"PILA01",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA
"PILA02",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA
"PILA03",5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA
"PILA04",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA
"PILA05",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,NA
"PILA06",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA
"PILA07",5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA,NA
"PILA08",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,NA
"PILA09",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA
"PILA10",3,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA,NA
