"","model","formula","p(Eff)","SEp(Eff)","p(Int)","SEp(Int)","psi(d.River)","SEpsi(d.River)","psi(d.Road)","SEpsi(d.Road)","psi(Elev)","SEpsi(Elev)","psi(HFI)","SEpsi(HFI)","psi(Int)","SEpsi(Int)","psi(NPP)","SEpsi(NPP)","psi(primForest)","SEpsi(primForest)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"10","pumariver","~1 ~ d.River",NA,NA,-2.44206616444517,0.490952578146199,2.87669050875398,1.56223932626004,NA,NA,NA,NA,NA,NA,-3.18446166523213,1.68159843808774,NA,NA,NA,NA,0,27.5839764445479,28.4970721749927,3,26,62.9941443499853,0,0.607461710275578,NA,0.607461710275578
"7","pummodeffele","~Eff ~ Elev",-0.389625084848707,0.195498167981894,-0.578182847676794,1.27367284099226,NA,NA,NA,NA,6.55524068159066,6.30740395581035,NA,NA,-2.87738250111422,2.06701832707335,NA,NA,NA,NA,0,10158.8901879285,29.0844381285045,4,26,66.1688762570091,3.17473190702373,0.124203728771498,NA,0.731665439047076
"3","pummodele","~1 ~ Elev",NA,NA,-3.07749417803041,0.450187676871805,NA,NA,NA,NA,6.70579872635815,6.25508444929287,NA,NA,-2.78311248941924,2.05177091915502,NA,NA,NA,NA,0,260.164609731992,30.6376651355594,3,26,67.2753302711188,4.2811859211335,0.0714284453530933,NA,0.803093884400169
"11","pummodhfieffele","~Eff ~ HFI + Elev",-0.372142708520831,0.195865629723298,-0.569488600901424,1.26757168192404,NA,NA,NA,NA,6.93823644792699,6.25027078481161,4.28347110196708,4.42429140266018,-1.86993709925882,1.29449577200252,NA,NA,NA,NA,0,13392.3716828521,28.6732795674786,5,26,67.3465591349572,4.35241478497184,0.0689293283143289,NA,0.872023212714498
"2","m.psi1.pEff","~Eff ~ 1",-0.429787396617389,0.22508911542261,0.199775232923833,1.5169745559386,NA,NA,NA,NA,NA,NA,NA,NA,-1.31705503053521,0.65818178854658,NA,NA,NA,NA,0,432.851257834689,31.3558460112832,3,26,68.7116920225663,5.71754767258098,0.0348312617119811,NA,0.906854474426479
"6","primforest","~1 ~ primForest",NA,NA,-2.57983483641685,0.568790832171106,NA,NA,NA,NA,NA,NA,NA,NA,-2.47734109203114,1.92436380580095,NA,NA,3.40072970273555,4.14787210321247,0,117.788657724315,31.8897602020004,3,26,69.7795204040007,6.7853760540154,0.0204217624268303,NA,0.92727623685331
"5","pummodeffhfi","~Eff ~ HFI",-0.437096279789232,0.226351837256666,0.193586545521461,1.53794153509612,NA,NA,NA,NA,NA,NA,-0.779071208232382,1.23272833079002,-1.37424295796051,0.71503846581296,NA,NA,NA,NA,0,457.804339100843,30.9368684098326,4,26,69.8737368196653,6.87959246967995,0.019482037944868,NA,0.946758274798178
"1","mod0","~1 ~ 1",NA,NA,-2.57470041480871,0.55642182005924,NA,NA,NA,NA,NA,NA,NA,NA,-1.26305542253843,0.686652686805293,NA,NA,NA,NA,0,3.3715924501224,32.956743742675,2,26,69.9134874853499,6.9193431353646,0.019098648572696,NA,0.965856923370874
"9","pumaroad","~1 ~ d.Road",NA,NA,-2.64008614836147,0.607721352697784,NA,NA,0.910045666125396,0.849613359134143,NA,NA,NA,NA,-1.35404117550863,0.801080466014155,NA,NA,NA,NA,0,5.17091747834056,32.0925011607366,3,26,70.1850023214732,7.19085797148792,0.016674159056429,NA,0.982531082427303
"4","pummodhfi","~1 ~ HFI",NA,NA,-2.61820270273451,0.596458026219481,NA,NA,NA,NA,NA,NA,-0.668577313775502,1.00139531380831,-1.30320598838853,0.743982892946205,NA,NA,NA,NA,0,6.08240556977047,32.5825061348407,3,26,71.1650122696815,8.17086791969612,0.0102149791283015,NA,0.992746061555604
"8","pumanpp","~1 ~ NPP",NA,NA,-2.57325601033591,0.556582045460731,NA,NA,NA,NA,NA,NA,NA,NA,-1.27370379192079,0.68965821189942,-0.155438078465775,0.615430723243704,NA,NA,0,3.41297854935571,32.9248167647897,3,26,71.8496335295794,8.85548917959409,0.0072539384443958,NA,1
