,Camr_Nm,Lat,Long,Elev,HFI,primForest,NPP,d.Road,d.River,EdgeDens,PatchDens,DisjCore
1,CBQTC1,9.125955,-83.05896,1810,4,5,76,0.116337981,0.015849798,91.8,9.13,5.07
2,CBQTC2,9.08922,-83.06565,1419,5,0,74,0.081756116,0.012282445,54.19,2.03,7.1
3,CBQTC5,9.071059,-83.0884,924,5,75,74,0.070559001,0.015527358,65.64,1.97,3.94
4,CBQTC6,9.078394,-83.07478,1107,5,66,74,0.074697737,0.01402947,71.96,5.07,7.1
5,CBQTC7,9.090548,-83.06159,1432,5,16,74,0.082057447,0.009506667,56.74,3.83,3.83
6,CBQTC8,9.101672,-83.04232,1548,5,90,76,0.090610047,0.005611762,29.03,1.01,1.01
7,K01,9.14067,-83.0672,2210,4,90,76,0.132245884,0.032081435,26.74,0.99,1.97
8,K02,9.15883,-83.06502,2449,4,95,76,0.146728472,0.037355553,16.97,0.99,0.99
9,K03,9.17116,-83.05924,2717,4,90,76,0.153848934,0.046090396,7.41,1.01,1.01
10,K04,9.18999,-83.06283,2877,4,90,76,0.154232534,0.053142595,5.33,1.01,1.01
11,K05,9.20264,-83.05823,2967,4,90,81,0.162358074,0.043806246,20.13,2.03,2.03
12,K06,9.22988,-83.07601,2821,4,90,81,0.15764272,0.047169403,49.52,0.99,1.97
13,K07,9.24641,-83.07299,2964,4,90,81,0.169136312,0.045181168,16.78,0.96,0.96
14,K08,9.25492,-83.06394,3064,4,77,81,0.181437069,0.039869346,56.7,0.99,0.99
15,K09,9.25863,-83.05029,3183,4,72,81,0.194767228,0.031385571,123.53,3.04,6.09
16,K10,9.264,-83.0405,3319,3,76,81,0.205888204,0.030748193,180.4,19.28,18.26
17,PILA01,9.0539,-82.9876,2118,4,90,61,0.066436245,0.020506097,5.76,0.99,0.99
18,PILA02,9.0623,-82.9838,2070,4,95,61,0.074881257,0.024369425,0,1,1
19,PILA03,9.0704,-82.9791,2243,4,90,61,0.083906225,0.029898867,0,1,1
20,PILA04,9.0798,-82.9766,2291,4,90,61,0.092470442,0.038181438,2.3,0.99,0.99
21,PILA05,9.0861,-82.9779,2476,4,90,61,0.096429442,0.032565455,5.76,0.99,0.99
22,PILA06,9.0954,-82.9763,2550,4,90,61,0.10476667,0.023346782,6.91,0.99,0.99
23,PILA07,9.1011,-82.9723,2511,4,90,94,0.111728193,0.016554623,7.11,2.03,1.01
24,PILA08,9.1015,-82.9677,2493,4,90,94,0.114830611,0.015201827,18.96,1.01,1.01
25,PILA09,9.1093,-82.9625,2483,4,90,94,0.124179343,0.008463385,0,1,1
26,PILA10,9.117,-82.9634,2438,4,90,94,0.129828214,0.00207418,1.19,1.01,1.01
